seed,sample,method,ari,nmi,n_clusters,res,sec
0,1DPI,SpatialDomainAE,0.5710644884412757,0.7398567057944393,20,1.5,17.0
0,1DPI,SpatialGATAE,0.577449813116377,0.7402672999544454,8,0.3,4.2
0,1DPI,ExprOnlyAE,0.5708567503285076,0.7310388484157976,18,1.5,1.9
0,3DPI,SpatialDomainAE,0.6843763777689832,0.7891199428854707,11,0.5,5.6
0,3DPI,SpatialGATAE,0.6406257188188579,0.7842831607146659,10,0.5,3.2
0,3DPI,ExprOnlyAE,0.6383068788550238,0.7602853112879238,10,0.5,1.9
0,7DPI,SpatialDomainAE,0.594874622647532,0.7477628322440576,9,0.5,4.3
0,7DPI,SpatialGATAE,0.5956428394813343,0.7356519735936087,8,0.3,3.0
0,7DPI,ExprOnlyAE,0.6307672356296173,0.7619704128143031,8,0.3,2.1
0,Ctrl,SpatialDomainAE,0.634288260418195,0.7492026454938279,12,0.8,3.1
0,Ctrl,SpatialGATAE,0.614349478540441,0.7410834651692624,12,0.8,3.2
0,Ctrl,ExprOnlyAE,0.6218669510358433,0.7463800503649033,12,0.8,1.8
