,model,test_sample,accuracy,f1_macro,f1_weighted,ari,nmi
SpatialDomainNet_1DPI,SpatialDomainNet,1DPI,0.6505604947816003,0.6330833320997863,0.6450839222499684,0.6845377310286862,0.7937090677255345
DualGCN_1DPI,DualGCN,1DPI,0.6320061847700039,0.6099444004349671,0.6229745234959514,0.6617397581758252,0.7686637324393216
SpatialGAT_1DPI,SpatialGAT,1DPI,0.655585620409741,0.6431857362374742,0.6514578069643057,0.6878311756960743,0.796537122689771
FeatureGAT_1DPI,FeatureGAT,1DPI,0.6370313103981445,0.621931406371718,0.6350734706543025,0.6772496684365481,0.7848875682849952
ExprOnly_1DPI,ExprOnly,1DPI,0.6316196366447623,0.6048662400013588,0.622438062471345,0.6641169859997781,0.7626769631988761
RF_1DPI,RF,1DPI,0.6432160804020101,0.6498943116223842,0.6308259705340632,0.6555804588875568,0.7800102127297989
SpatialDomainNet_3DPI,SpatialDomainNet,3DPI,0.7345511076564322,0.630542164203743,0.7352049638483201,0.8358312123307539,0.8373676990751916
DualGCN_3DPI,DualGCN,3DPI,0.7213369607462107,0.6261905232360572,0.7246437994938365,0.8005571155956522,0.8203769253565351
SpatialGAT_3DPI,SpatialGAT,3DPI,0.727555382821609,0.6108997291579952,0.7293324158313211,0.8227458879759759,0.8277881572479645
FeatureGAT_3DPI,FeatureGAT,3DPI,0.7291099883404586,0.619614011091162,0.7308119831008548,0.8121818329463146,0.8189601965883272
ExprOnly_3DPI,ExprOnly,3DPI,0.7162844928099494,0.6181015809951009,0.7188508398202158,0.7999894625080901,0.8032668904800486
RF_3DPI,RF,3DPI,0.727555382821609,0.6587527433182098,0.7271811540371571,0.8108748965524382,0.8446772432768473
SpatialDomainNet_7DPI,SpatialDomainNet,7DPI,0.7781201848998459,0.5748092365764131,0.7687128845672437,0.7425165841948036,0.7522987233935263
DualGCN_7DPI,DualGCN,7DPI,0.764637904468413,0.561166334899104,0.7583754052862438,0.7148616537937471,0.7218674214550216
SpatialGAT_7DPI,SpatialGAT,7DPI,0.7754237288135594,0.5563056100021734,0.7689461379775567,0.7319207743163874,0.7473985321242916
FeatureGAT_7DPI,FeatureGAT,7DPI,0.7812018489984591,0.5893702587679692,0.7733483505042489,0.7549714441459081,0.759538219516656
ExprOnly_7DPI,ExprOnly,7DPI,0.7954545454545454,0.5879450233722998,0.7893357267145122,0.778998555945552,0.7848809498483298
RF_7DPI,RF,7DPI,0.7996918335901386,0.6504667578363386,0.8094150519283794,0.7808904464704922,0.7990271627007215
SpatialDomainNet_Ctrl,SpatialDomainNet,Ctrl,0.8816714935870914,0.6882189760827723,0.8718492111313446,0.8199148307836277,0.819920792511782
DualGCN_Ctrl,DualGCN,Ctrl,0.864294580057923,0.6651061099062495,0.8530466566099658,0.7917973492126581,0.7970796981254831
SpatialGAT_Ctrl,SpatialGAT,Ctrl,0.8779478692594125,0.6718868909365026,0.8649284921560019,0.820053939999454,0.8198435493764615
FeatureGAT_Ctrl,FeatureGAT,Ctrl,0.8874637980968142,0.6856066690547096,0.8764999331134047,0.8301044914341269,0.8307356047633002
ExprOnly_Ctrl,ExprOnly,Ctrl,0.8663632602399669,0.660954210307367,0.8535958125821098,0.8091468204434566,0.8111408815573008
RF_Ctrl,RF,Ctrl,0.8431940422010757,0.6542072370711006,0.8384913255186363,0.7647119701527539,0.7978875111882092
