seed,sample,method,ari,nmi,n_clusters,res,sec
0,1DPI,STAGATE,0.4596651832488481,0.6559652746247062,9,0.3,47.7
0,1DPI,GraphST,0.5561065741851773,0.7399452044090076,10,0.5,27.9
0,1DPI,SpaGCN,0.5848893381672263,0.743759814017156,10,0.3,189.9
0,3DPI,STAGATE,0.5391654135922231,0.7357786195499832,13,0.5,12.2
0,3DPI,GraphST,0.6421572378917935,0.7722308693989143,13,0.8,18.1
0,3DPI,SpaGCN,0.6184952975107584,0.762128327607203,10,0.3,143.0
0,7DPI,STAGATE,0.5037850206862141,0.7134498402279058,14,0.5,11.9
0,7DPI,GraphST,0.5967537299541688,0.7650006642811753,19,1.0,18.9
0,7DPI,SpaGCN,0.6374688262202212,0.7708663196271058,11,0.3,149.9
0,Ctrl,STAGATE,0.5273323350992404,0.666506747563947,11,0.3,10.8
0,Ctrl,GraphST,0.6076155644829334,0.7343393951267154,12,0.5,18.3
0,Ctrl,SpaGCN,0.5918133079327114,0.7308158098508462,10,0.3,134.6
1,1DPI,STAGATE,0.4788691244610249,0.6642227374960562,10,0.3,12.3
1,1DPI,GraphST,0.5508620257386807,0.7341644736995366,9,0.3,19.8
1,1DPI,SpaGCN,0.5760388673447375,0.7253310504683893,10,0.3,193.0
1,3DPI,STAGATE,0.6184123093104743,0.7386439159700032,10,0.3,11.2
1,3DPI,GraphST,0.5994135053871574,0.7546600327358088,16,1.0,17.6
1,3DPI,SpaGCN,0.6123948016288324,0.7656347197258788,12,0.3,136.6
1,7DPI,STAGATE,0.5735800328513804,0.7059910049509129,9,0.3,11.9
1,7DPI,GraphST,0.5875982413127087,0.7298135531267593,8,0.3,19.7
1,7DPI,SpaGCN,0.6338547178967127,0.7752436226980035,11,0.3,154.7
1,Ctrl,STAGATE,0.5115603575192016,0.657879699337185,11,0.3,11.2
1,Ctrl,GraphST,0.6272829406978584,0.7420424988495591,10,0.3,17.3
1,Ctrl,SpaGCN,0.5971383226333918,0.7386284982253135,10,0.3,142.8
2,1DPI,STAGATE,0.5305387753926274,0.7032835983983693,10,0.3,12.1
2,1DPI,GraphST,0.55288799453827,0.7257226807914182,11,0.5,18.7
2,1DPI,SpaGCN,0.5272969900328096,0.7133189012763258,12,0.5,158.5
2,3DPI,STAGATE,0.5483759737991756,0.7092639665142859,10,0.3,12.3
2,3DPI,GraphST,0.643472584038695,0.7665964063654515,12,0.8,18.1
2,3DPI,SpaGCN,0.6240106742937348,0.7529007077776622,11,0.3,168.1
2,7DPI,STAGATE,0.4911897824249196,0.7008919884518553,14,0.5,11.3
2,7DPI,GraphST,0.5898101050027735,0.7328491066731624,8,0.3,18.9
2,7DPI,SpaGCN,0.6171093680764774,0.7612214148580629,10,0.3,183.2
2,Ctrl,STAGATE,0.4970602546583388,0.6517346590671443,11,0.3,11.7
2,Ctrl,GraphST,0.5732837052334083,0.7080683112227804,10,0.5,16.7
2,Ctrl,SpaGCN,0.603104675295224,0.7320673003048147,11,0.3,185.0
