seed,sample,method,ari,nmi,n_clusters,res,sec
3,1DPI,STAGATE,0.4924671711552481,0.6748015266768308,10,0.3,63.9
3,1DPI,GraphST,0.5530860597445731,0.7360900803028012,9,0.3,26.8
3,1DPI,SpaGCN,0.5219448913482391,0.7318991040121633,12,0.5,51.2
3,3DPI,STAGATE,0.5457585590776123,0.6960082687910354,10,0.3,8.3
3,3DPI,GraphST,0.6411390034789939,0.7621722282762114,15,0.8,12.1
3,3DPI,SpaGCN,0.6370626379111314,0.7698949028467682,12,0.3,33.9
3,7DPI,STAGATE,0.5209604351637526,0.68507804179692,11,0.3,11.1
3,7DPI,GraphST,0.5966100105253075,0.7402314799872357,9,0.5,12.4
3,7DPI,SpaGCN,0.6522178508284456,0.7632718610610558,12,0.3,55.1
3,Ctrl,STAGATE,0.5178478167817598,0.6656196655679347,11,0.3,8.7
3,Ctrl,GraphST,0.5977423328326481,0.7266157409519085,11,0.5,16.6
3,Ctrl,SpaGCN,0.6247914640129342,0.7431583252269426,11,0.3,56.3
4,1DPI,STAGATE,0.5166063191295388,0.6902795501348962,10,0.3,10.8
4,1DPI,GraphST,0.5625418777574004,0.7376680350945828,9,0.3,13.9
4,1DPI,SpaGCN,0.5390235663220522,0.7225342832630871,15,0.8,68.9
4,3DPI,STAGATE,0.5929780307906258,0.7379712812256848,11,0.3,9.8
4,3DPI,GraphST,0.6452464667566266,0.765210201260614,11,0.5,12.8
4,3DPI,SpaGCN,0.5826747241073921,0.7442280314676568,16,0.8,58.4
4,7DPI,STAGATE,0.5193541717763485,0.6969688508164885,10,0.3,9.7
4,7DPI,GraphST,0.587281325932146,0.7488644330809064,15,0.8,15.7
4,7DPI,SpaGCN,0.5571317786415688,0.741114950165161,11,0.3,51.6
4,Ctrl,STAGATE,0.49018034169254004,0.6616591044434955,15,0.5,9.5
4,Ctrl,GraphST,0.5883940160947086,0.7285231662333873,17,0.8,12.1
4,Ctrl,SpaGCN,0.6210881379264316,0.7355352084982685,11,0.3,83.4
5,1DPI,STAGATE,0.48011068762047493,0.6624021193324708,10,0.3,9.1
5,1DPI,GraphST,0.5628847722098084,0.7373018832193051,11,0.5,15.8
5,1DPI,SpaGCN,0.550550999924058,0.7332722195987097,12,0.5,40.8
5,3DPI,STAGATE,0.5385350314021148,0.6919082239920761,9,0.3,10.5
5,3DPI,GraphST,0.6458769729695021,0.7721576494324676,13,0.8,14.4
5,3DPI,SpaGCN,0.6076708661629748,0.7665868781788692,17,0.8,51.6
5,7DPI,STAGATE,0.5199036450515273,0.7026499374690698,10,0.3,10.0
5,7DPI,GraphST,0.5853999793445199,0.7528845219158062,17,1.0,15.1
5,7DPI,SpaGCN,0.6126266869564491,0.7565122599402251,9,0.3,33.4
5,Ctrl,STAGATE,0.4777212639739736,0.6396011326859725,11,0.3,7.2
5,Ctrl,GraphST,0.571345618953242,0.7154750320295796,16,0.8,10.4
5,Ctrl,SpaGCN,0.6246968907856437,0.743693717999961,13,0.5,7.4
6,1DPI,STAGATE,0.512471513563624,0.6844412631205303,10,0.3,7.5
6,1DPI,GraphST,0.5594626670448858,0.730993674897416,10,0.3,11.8
6,1DPI,SpaGCN,0.5390382132289189,0.7343086185387677,12,0.5,13.1
6,3DPI,STAGATE,0.5877145302827516,0.7327074338247747,10,0.3,7.5
6,3DPI,GraphST,0.6430770965344339,0.7676345599543116,13,0.8,11.4
6,3DPI,SpaGCN,0.6049154200275537,0.7610974500921557,14,0.5,11.1
6,7DPI,STAGATE,0.5757175931538665,0.7138574908401893,10,0.3,7.6
6,7DPI,GraphST,0.607322462563424,0.746950320105047,9,0.5,11.7
6,7DPI,SpaGCN,0.5794164437725725,0.7442065584847721,11,0.3,11.0
6,Ctrl,STAGATE,0.5110212808048651,0.6754993933956419,14,0.5,7.3
6,Ctrl,GraphST,0.6254341492501149,0.7377565524375108,10,0.3,11.1
6,Ctrl,SpaGCN,0.5892692602408173,0.7361386996666534,14,0.5,10.1
7,1DPI,STAGATE,0.5108844512438085,0.685922853274356,10,0.3,7.1
7,1DPI,GraphST,0.5531557096893153,0.7387725186618459,11,0.5,11.4
7,1DPI,SpaGCN,0.5846228085984105,0.7468890893222326,14,0.5,11.2
7,3DPI,STAGATE,0.5564086286091283,0.7182579902952797,10,0.3,7.5
7,3DPI,GraphST,0.6445591470910229,0.7615177737277603,15,0.8,11.6
7,3DPI,SpaGCN,0.6038422381202013,0.7530351386207427,15,0.8,35.9
7,7DPI,STAGATE,0.5700424670602233,0.6957652300479937,9,0.3,7.1
7,7DPI,GraphST,0.5728289860271149,0.7202730997462211,8,0.3,11.5
7,7DPI,SpaGCN,0.6377083231539419,0.77257552513015,10,0.3,10.8
7,Ctrl,STAGATE,0.5030410732731417,0.6497559068442595,11,0.3,6.8
7,Ctrl,GraphST,0.6109033636826329,0.7305136420330266,11,0.5,10.7
7,Ctrl,SpaGCN,0.5822242027923036,0.7303404137788153,10,0.3,7.0
8,1DPI,STAGATE,0.49313794973061736,0.6816065784352109,10,0.3,7.2
8,1DPI,GraphST,0.5556150025576964,0.7347637022289767,11,0.5,11.6
8,1DPI,SpaGCN,0.5252591582902777,0.7271870511060249,11,0.3,10.1
8,3DPI,STAGATE,0.547567646353132,0.7053167698838199,10,0.3,6.8
8,3DPI,GraphST,0.6543894303958435,0.7718397681201246,14,0.8,11.2
8,3DPI,SpaGCN,0.5940671537740576,0.756027412053915,12,0.3,8.5
8,7DPI,STAGATE,0.5188101262252177,0.6802182360532112,10,0.3,7.2
8,7DPI,GraphST,0.5944720984455968,0.734846031392416,8,0.3,11.6
8,7DPI,SpaGCN,0.643027014846662,0.7741809393310657,9,0.3,14.4
8,Ctrl,STAGATE,0.5257214581836692,0.6620352143546128,11,0.3,6.8
8,Ctrl,GraphST,0.6286058675990746,0.7421794434080633,10,0.3,10.9
8,Ctrl,SpaGCN,0.6077273567766032,0.724512936492015,10,0.3,7.8
9,1DPI,STAGATE,0.5166616910448913,0.6985795660621272,10,0.3,7.9
9,1DPI,GraphST,0.552329086065204,0.7303007596207439,11,0.5,12.3
9,1DPI,SpaGCN,0.598935809491343,0.7531589675993549,11,0.3,10.6
