,model,test_sample,accuracy,f1_macro,f1_weighted,ari,nmi
CLIP_Multi_1DPI,CLIP_Multi,1DPI,0.9130266718206417,0.9127567951439423,0.913146460832541,0.7704588893319627,0.7257994512308474
CLIP_Img_1DPI,CLIP_Img,1DPI,0.3181291070738307,0.20453213667274966,0.22441894471761129,0.003060389750583178,0.07484066966499528
CLIP_Expr_1DPI,CLIP_Expr,1DPI,0.9141863161963665,0.9142626447078285,0.9143342485406153,0.7725139851798141,0.7301604716994432
ConcatGraph_1DPI,ConcatGraph,1DPI,0.9273289524545806,0.9267171366449118,0.9274403711963584,0.806273754750482,0.7664474869758127
ExprOnly_1DPI,ExprOnly,1DPI,0.9315809818322381,0.9329770504213437,0.9317753420470675,0.8140520274591915,0.781610541955785
ImageOnly_1DPI,ImageOnly,1DPI,0.3591032083494395,0.2569178634978961,0.2399021113497935,0.1182327015945734,0.20162213180151867
ExprGraph_1DPI,ExprGraph,1DPI,0.928875144955547,0.9283197472192364,0.9289920655224013,0.8107117567280299,0.7719229937651867
RF_1DPI,RF,1DPI,0.8639350599149594,0.8754056048961533,0.8628922446075756,0.6424791986692316,0.6951159526906632
CLIP_Multi_3DPI,CLIP_Multi,3DPI,0.9331519626894675,0.9326047707478042,0.9334325791253475,0.8197694244005117,0.7880015441464389
CLIP_Img_3DPI,CLIP_Img,3DPI,0.6027982899339293,0.6013619185682777,0.600596089998244,0.26164738862930487,0.3035774184710558
CLIP_Expr_3DPI,CLIP_Expr,3DPI,0.93354061406918,0.9331354639646204,0.9338359400579481,0.8206672917289312,0.7891288217834174
ConcatGraph_3DPI,ConcatGraph,3DPI,0.9432568985619899,0.9423991181026818,0.9434913691987438,0.8468838299306669,0.8130595042193545
ExprOnly_3DPI,ExprOnly,3DPI,0.9490866692576758,0.9478564090688426,0.9493088094039985,0.8628667551436403,0.8285316916172895
ImageOnly_3DPI,ImageOnly,3DPI,0.581033812670035,0.5933287439079655,0.5811857944121691,0.24034247020940228,0.2999878873044874
ExprGraph_3DPI,ExprGraph,3DPI,0.9444228527011271,0.9431068366964295,0.9446226803914282,0.850630771504855,0.8146175219678393
RF_3DPI,RF,3DPI,0.9564710454722114,0.9537893836016917,0.9564575608356367,0.8838482888162811,0.8493964910786039
CLIP_Multi_7DPI,CLIP_Multi,7DPI,0.8840523882896765,0.8339895596583844,0.8832507129734708,0.755496287773884,0.6642592180852493
CLIP_Img_7DPI,CLIP_Img,7DPI,0.30701078582434516,0.3232617269604644,0.2238397517988909,0.09135962066706636,0.1020195678854355
CLIP_Expr_7DPI,CLIP_Expr,7DPI,0.8832819722650231,0.8324476391133175,0.8824279965185747,0.7545016181648492,0.6627641643359536
ConcatGraph_7DPI,ConcatGraph,7DPI,0.900231124807396,0.8617461568627998,0.900570051284569,0.7815952102292364,0.6942429346635054
ExprOnly_7DPI,ExprOnly,7DPI,0.9060092449922958,0.8704765880394022,0.905540482937438,0.7894763717457522,0.7098685900773741
ImageOnly_7DPI,ImageOnly,7DPI,0.44838212634822805,0.4862788170254759,0.4485268471135049,0.09432348048315788,0.1656570452889987
ExprGraph_7DPI,ExprGraph,7DPI,0.8994607087827426,0.8611236322882956,0.8992495214797842,0.7755264197919691,0.6917238248918419
RF_7DPI,RF,7DPI,0.884437596302003,0.8458809053273939,0.8825296688728832,0.727635239554899,0.6517166698836354
CLIP_Multi_Ctrl,CLIP_Multi,Ctrl,0.9110467521721142,0.7096930412860751,0.9048978917227417,0.7653356418144591,0.6898664775483149
CLIP_Img_Ctrl,CLIP_Img,Ctrl,0.21928009929664874,0.11235579470873588,0.09708993510984311,-0.02105139500354514,0.01740015933323485
CLIP_Expr_Ctrl,CLIP_Expr,Ctrl,0.913115432354158,0.7111106449449788,0.9069305043201374,0.7711785388331396,0.6940258785547866
ConcatGraph_Ctrl,ConcatGraph,Ctrl,0.9263549855192387,0.7214995246563735,0.9199002907223016,0.8074922607611953,0.7305321043167452
ExprOnly_Ctrl,ExprOnly,Ctrl,0.9280099296648738,0.7325321462663639,0.9218090949505355,0.8112842572005714,0.7376248184541357
ImageOnly_Ctrl,ImageOnly,Ctrl,0.47000413736036406,0.3985174921247162,0.4672962486230552,0.19837467033203152,0.21484171191064594
ExprGraph_Ctrl,ExprGraph,Ctrl,0.9238725693007861,0.7304099640171454,0.9174978864128122,0.7990632295652575,0.7259262084217427
RF_Ctrl,RF,Ctrl,0.8920148944973108,0.686774538451202,0.885120825603537,0.7127517346770816,0.6587465757291323
