seed,sample,method,ari,nmi,n_clusters,res,sec
5,1DPI,SpatialDomainAE,0.5187315525367859,0.6941261806782746,13,0.8,69.3
5,1DPI,SpatialGATAE,0.49785434616158636,0.6874488144984698,13,1.0,65.3
5,1DPI,ExprOnlyAE,0.49723864550774916,0.6826478958181296,9,0.8,61.8
5,3DPI,SpatialDomainAE,0.6886916352288209,0.7905214884381755,15,1.0,80.2
5,3DPI,SpatialGATAE,0.7130761508002338,0.7987174855657531,15,1.0,66.7
5,3DPI,ExprOnlyAE,0.7430650072069713,0.807285595003452,17,1.0,57.9
5,7DPI,SpatialDomainAE,0.6331924575359628,0.7633525218457711,13,0.8,81.4
5,7DPI,SpatialGATAE,0.619816534633608,0.7495819472319611,13,0.8,65.9
5,7DPI,ExprOnlyAE,0.6149049545840216,0.7447434640148529,13,1.0,58.1
5,Ctrl,SpatialDomainAE,0.5599084215859822,0.7078189933074863,15,0.8,79.5
5,Ctrl,SpatialGATAE,0.5364577094271284,0.6899751115820586,14,0.8,64.7
5,Ctrl,ExprOnlyAE,0.6081387887274621,0.7288634699803824,13,1.0,60.2
6,1DPI,SpatialDomainAE,0.5474693334482454,0.7177989076953658,13,0.8,80.5
6,1DPI,SpatialGATAE,0.5046780799897719,0.6774616715053056,9,0.5,64.7
6,1DPI,ExprOnlyAE,0.48761979929677984,0.6754211701899352,9,0.5,60.9
6,3DPI,SpatialDomainAE,0.690445341126735,0.7799689945217348,15,1.0,80.7
6,3DPI,SpatialGATAE,0.6875205531428039,0.7855788602964296,14,1.0,68.1
6,3DPI,ExprOnlyAE,0.7348810829138877,0.7950881699604251,15,1.0,60.1
6,7DPI,SpatialDomainAE,0.5849898707003789,0.7331200329976751,10,0.5,81.4
6,7DPI,SpatialGATAE,0.6369458079657236,0.7481700156850815,11,0.8,65.1
6,7DPI,ExprOnlyAE,0.617595353509619,0.7346927507905002,11,0.8,58.8
6,Ctrl,SpatialDomainAE,0.5214843081392895,0.6849750105203799,13,0.8,79.7
6,Ctrl,SpatialGATAE,0.5486083514897109,0.7051081199090153,15,0.8,64.1
6,Ctrl,ExprOnlyAE,0.5691647300068737,0.7026255394758316,13,1.0,52.0
7,1DPI,SpatialDomainAE,0.5348578040669549,0.6993993348354275,14,1.0,77.0
7,1DPI,SpatialGATAE,0.5000155954730403,0.682762670802315,15,1.0,60.9
7,1DPI,ExprOnlyAE,0.49010657479615927,0.672599937657049,8,0.3,51.0
7,3DPI,SpatialDomainAE,0.734304824405412,0.7983502474584029,15,0.8,81.7
7,3DPI,SpatialGATAE,0.6871400139440274,0.7763950289353069,14,0.8,61.3
7,3DPI,ExprOnlyAE,0.661643111187845,0.7666947776796356,14,1.0,52.5
7,7DPI,SpatialDomainAE,0.6068090586794831,0.750375912710979,9,0.5,79.3
7,7DPI,SpatialGATAE,0.5918454436474382,0.7257694341002668,12,0.8,62.7
7,7DPI,ExprOnlyAE,0.6187500976728243,0.742393029560381,10,0.8,53.5
7,Ctrl,SpatialDomainAE,0.5336913803445011,0.6958789985657698,12,0.8,76.5
7,Ctrl,SpatialGATAE,0.5339751730997423,0.6791652460556566,10,0.5,64.8
7,Ctrl,ExprOnlyAE,0.5688148194647213,0.6984708572079698,13,1.0,46.3
8,1DPI,SpatialDomainAE,0.5184369709759102,0.6830799803746856,10,0.5,74.4
8,1DPI,SpatialGATAE,0.5208434199927315,0.6899602539601846,14,1.0,61.2
8,1DPI,ExprOnlyAE,0.45641978834604896,0.6481243315260257,8,0.5,46.9
8,3DPI,SpatialDomainAE,0.6978630121009383,0.7841525420273167,16,1.0,79.3
8,3DPI,SpatialGATAE,0.6930699164757046,0.7777160185115753,14,1.0,63.3
8,3DPI,ExprOnlyAE,0.7093395797456535,0.7970776195093107,15,1.0,49.9
8,7DPI,SpatialDomainAE,0.6309992701438348,0.7624482390534141,15,1.0,77.8
8,7DPI,SpatialGATAE,0.6123701175293536,0.748010393149145,10,0.5,62.5
8,7DPI,ExprOnlyAE,0.575077522946594,0.7246151833594707,9,0.5,51.6
8,Ctrl,SpatialDomainAE,0.5754000820815381,0.7229564002356307,13,0.8,79.8
8,Ctrl,SpatialGATAE,0.5243028135487328,0.6845429317440335,10,0.5,63.8
8,Ctrl,ExprOnlyAE,0.5789823446045425,0.6975546816068966,12,0.8,48.4
9,1DPI,SpatialDomainAE,0.5269062916598705,0.7040878373683737,9,0.5,75.0
9,1DPI,SpatialGATAE,0.5177115537275857,0.6810001976048193,10,0.5,61.2
9,1DPI,ExprOnlyAE,0.4967383842479809,0.6731316388129143,11,0.8,47.9
9,3DPI,SpatialDomainAE,0.758425557181763,0.8168164984055268,15,1.0,79.4
9,3DPI,SpatialGATAE,0.6725700074640538,0.7900869361651932,13,0.8,63.1
9,3DPI,ExprOnlyAE,0.6778467715330586,0.7751187503737326,13,1.0,53.3
9,7DPI,SpatialDomainAE,0.6738267198425484,0.771789330818686,13,0.8,79.6
9,7DPI,SpatialGATAE,0.6172155043370641,0.7460233264213685,13,0.8,63.1
9,7DPI,ExprOnlyAE,0.6124891342383555,0.7508487077479581,14,1.0,48.0
9,Ctrl,SpatialDomainAE,0.5911908507700462,0.7177902685143689,13,0.8,81.4
9,Ctrl,SpatialGATAE,0.5446153581076182,0.6997019016864622,14,0.8,67.2
9,Ctrl,ExprOnlyAE,0.5812626942386953,0.7107343498852551,11,0.8,28.1
