cluster,dominant_domain,purity,n_spots
0,FT,0.9607843137254902,255
1,PIR,0.73,200
2,ISD3p,0.5759162303664922,191
3,TH,0.978021978021978,182
4,HY,0.9775280898876404,178
5,ISD3c,0.9534883720930233,172
6,CTX6,0.46745562130177515,169
7,AMY,0.9328358208955224,134
8,CTX1-4,0.9770992366412213,131
9,ISD3c,0.9212598425196851,127
10,CP,0.976,125
11,CS,0.9826086956521739,115
12,FT,0.42990654205607476,107
13,TH,0.9719626168224299,107
14,lCTX6,0.4788732394366197,71
15,TH,0.9206349206349206,63
16,lCTX4-5,0.5409836065573771,61
17,HIP,0.6721311475409836,61
18,CTX6,0.5185185185185185,54
19,LV,0.9210526315789473,38
20,GLS,0.875,32
