cluster,rank,gene,score,pval_adj,log2fc
0,1,Plp1,25.810446,1.2926531332390782e-142,4.3032894
0,2,Mbp,25.580873,2.378111811046805e-140,3.6882923
0,3,Mal,25.54264,4.219103796527469e-140,3.9306383
0,4,Fth1,25.504852,8.313823054984325e-140,2.1005378
0,5,Mobp,25.437002,3.754898083542891e-139,3.8066516
0,6,Cnp,25.370838,1.6846417562030445e-138,3.570623
0,7,Scd2,24.995264,1.8777339664840472e-134,1.9950048
0,8,Dbndd2,24.966534,3.3715715639327605e-134,2.9190743
0,9,Cryab,24.961248,3.420272754465633e-134,3.0849543
0,10,Cldn11,24.946728,4.425045896059824e-134,3.5424902
0,11,Sept4,24.926125,6.730029188370491e-134,3.1565843
0,12,Mag,24.919464,7.187123450587439e-134,3.671668
0,13,Qdpr,24.9168,7.187123450587439e-134,2.998748
0,14,Plekhb1,24.856897,2.970617502626756e-133,3.2389786
0,15,Sgk1,24.735584,5.641754018435282e-132,2.9392657
0,16,Mog,24.65268,4.110942892269503e-131,3.6932225
0,17,Tspan2,24.233944,1.0969062112089162e-126,3.3918147
0,18,Csrp1,24.215916,1.6044998105574907e-126,2.65701
0,19,Ndrg1,23.92937,1.5230609299919645e-123,3.0826523
0,20,Aplp1,23.6597,8.955140867889585e-121,1.7152159
1,1,Nptxr,21.474808,5.1143970139292816e-98,3.2778516
1,2,Olfm1,20.657835,7.925206972907088e-91,2.575715
1,3,Ddn,20.36506,2.173328682490113e-88,2.6580353
1,4,Slc30a3,19.917326,1.3747456040953734e-84,3.180882
1,5,Slc17a7,19.44407,1.2494614448026698e-80,2.6147985
1,6,Ccn3,19.137024,3.9516972151814995e-78,3.039402
1,7,Ttc9b,18.275204,3.557431766917099e-71,2.2195587
1,8,Camk2a,18.218016,8.864852120847042e-71,2.076458
1,9,Lmo3,18.20637,9.747765051925664e-71,2.7757957
1,10,2010300C02Rik,18.17723,1.4929732845782283e-70,2.4324348
1,11,Snca,17.93188,1.1542785788855816e-68,2.3033261
1,12,Cpne6,17.892683,2.1399295912143746e-68,2.3377504
1,13,Gpm6a,17.854921,3.887509409642332e-68,1.6563107
1,14,Cplx2,17.737179,2.953614280571078e-67,2.1846526
1,15,Chn1,17.587471,3.912022857188779e-66,1.9211003
1,16,Syn2,17.581673,4.0013140027225345e-66,1.9355122
1,17,Stx1a,17.579096,4.0013140027225345e-66,2.2919278
1,18,Arpp21,17.461748,2.9728273856897446e-65,2.1834354
1,19,Hpcal4,17.268433,7.764658479728265e-64,2.1625965
1,20,Arf3,17.226458,1.528919931524233e-63,1.4671056
10,1,Penk,18.390907,2.966704092554679e-71,4.957123
10,2,Ppp1r1b,17.76795,1.195256114524826e-66,3.8331244
