seed,sample,method,ari,nmi,n_clusters,res,sec
0,151507,STAGATE,0.3009548664772045,0.5054382977248987,12,0.3,75.5
0,151507,GraphST,0.43007996133817794,0.5355834389882744,9,0.8,47.7
0,151507,SpaGCN,0.3121093002361846,0.46538014924759724,9,0.5,60.8
0,151508,STAGATE,0.23655126129760176,0.46861686308025174,13,0.3,19.3
0,151508,GraphST,0.36939244873603716,0.48647461676975695,6,0.5,38.8
0,151508,SpaGCN,0.2719602235002074,0.4236188425620501,8,0.3,52.2
0,151509,STAGATE,0.19542874137005128,0.44016985133551,13,0.3,17.4
0,151509,GraphST,0.32464203723690926,0.5055692564870465,5,0.3,44.1
0,151509,SpaGCN,0.2434699154159198,0.38664589269509625,6,0.3,49.6
0,151510,STAGATE,0.22607556915464297,0.4245495330307404,13,0.3,18.9
0,151510,GraphST,0.2851982044740588,0.40447815739021864,6,0.3,43.3
0,151510,SpaGCN,0.2398243974872504,0.40322477919775285,9,0.5,57.9
0,151669,STAGATE,0.13974547944756668,0.4070896201293129,13,0.3,13.6
0,151669,GraphST,0.2908522129789327,0.4212459812987769,3,0.3,30.5
0,151669,SpaGCN,0.19012388459617693,0.3591056451308976,6,0.3,36.0
0,151670,STAGATE,0.1250183631562815,0.40089987294875606,12,0.3,14.2
0,151670,GraphST,0.3289197971541282,0.42700609347202895,3,0.3,32.9
0,151670,SpaGCN,0.1558981956560097,0.2971493073796868,7,0.3,33.6
0,151671,STAGATE,0.19150726303572438,0.409922830308946,12,0.3,16.4
0,151671,GraphST,0.36040666105771657,0.4071978146529917,6,0.5,36.4
0,151671,SpaGCN,0.3297939339855475,0.3867373917986755,7,0.3,44.0
0,151672,STAGATE,0.18189461461116524,0.42711215877000325,14,0.3,15.6
0,151672,GraphST,0.24790787339843218,0.32790105563068433,5,0.5,35.4
0,151672,SpaGCN,0.22151312610632964,0.33795932447871563,9,0.3,36.3
0,151673,STAGATE,0.2641156094344305,0.45204566528969764,12,0.3,14.0
0,151673,GraphST,0.3418559723488898,0.5061380354208751,9,0.8,26.0
0,151673,SpaGCN,0.2948178970969798,0.45725762413733,8,0.3,39.5
0,151674,STAGATE,0.31088038162976983,0.5048909232628157,14,0.3,15.6
0,151674,GraphST,0.29939062528398025,0.4115165267554516,5,0.3,25.8
0,151674,SpaGCN,0.2770754172014572,0.35690934440268424,6,0.3,36.3
0,151675,STAGATE,0.25796402359280696,0.44767540090148916,12,0.3,13.6
0,151675,GraphST,0.36938398439272624,0.4785387876971849,9,1.0,29.6
0,151675,SpaGCN,0.28880563664769493,0.3961040410240787,7,0.3,34.7
0,151676,STAGATE,0.24859006087777422,0.43972338843617764,13,0.3,13.5
0,151676,GraphST,0.29639816776466776,0.4284232681881096,6,0.5,23.8
0,151676,SpaGCN,0.2555429256690759,0.4253477292179396,7,0.3,27.7
1,151507,STAGATE,0.26689018667200787,0.49979921115027137,13,0.3,17.6
1,151507,GraphST,0.4382973414079161,0.5415386038850856,7,0.5,34.5
1,151507,SpaGCN,0.29291124350541464,0.4628960300823388,10,0.5,48.1
1,151508,STAGATE,0.23971844173914494,0.45988799021867377,12,0.3,19.9
1,151508,GraphST,0.3672388017123462,0.4827473333871329,7,0.5,40.1
1,151508,SpaGCN,0.22734993144416007,0.33603975433805633,6,0.3,47.0
1,151509,STAGATE,0.247652321656584,0.46760227851449204,12,0.3,20.7
1,151509,GraphST,0.2774062268180727,0.46106362483505187,10,0.8,41.4
1,151509,SpaGCN,0.24067094954238807,0.4241294992238291,9,0.3,56.5
1,151510,STAGATE,0.20849877053183663,0.4266320262637675,12,0.3,19.7
1,151510,GraphST,0.4286733427805166,0.513678112675244,6,0.3,38.7
1,151510,SpaGCN,0.2797442287073613,0.42490207672879965,7,0.3,52.7
1,151669,STAGATE,0.13958898309680803,0.3962424126299516,12,0.3,13.0
1,151669,GraphST,0.33483824466650625,0.4387336861494005,3,0.3,30.1
1,151669,SpaGCN,0.211816237440983,0.33469801868744914,5,0.3,38.9
1,151670,STAGATE,0.1445444007024349,0.39237669324186214,11,0.3,14.2
1,151670,GraphST,0.4079670698859084,0.4710771782959874,3,0.3,25.9
1,151670,SpaGCN,0.15603395737996945,0.3512981904599392,10,0.5,30.5
1,151671,STAGATE,0.20305435665719712,0.4374156541705336,13,0.3,15.7
1,151671,GraphST,0.3549604047942248,0.4166844644172848,6,0.5,34.1
1,151671,SpaGCN,0.28894615134025514,0.41325986134698384,7,0.3,46.2
1,151672,STAGATE,0.2542889909384616,0.47512986815678865,11,0.3,14.9
1,151672,GraphST,0.26769312117377947,0.40674062496554264,8,0.8,32.6
1,151672,SpaGCN,0.19441424645430003,0.30377653840265634,6,0.3,42.9
1,151673,STAGATE,0.2642303537630525,0.4493852839111265,12,0.3,13.7
1,151673,GraphST,0.2997476012426736,0.4885000245825095,10,0.8,27.7
1,151673,SpaGCN,0.29805640462586586,0.46771236958482065,10,0.5,38.7
1,151674,STAGATE,0.2625333235292438,0.45922594938080685,14,0.3,14.9
1,151674,GraphST,0.3265619932686406,0.4678972944252248,8,0.5,27.9
1,151674,SpaGCN,0.32924550877707376,0.4199606579728204,6,0.3,20.7
1,151675,STAGATE,0.24776471302648445,0.431416019178585,13,0.3,14.6
1,151675,GraphST,0.3204719577614021,0.43017392340947636,6,0.5,28.7
1,151675,SpaGCN,0.31478517303419085,0.399248880193443,5,0.3,32.8
1,151676,STAGATE,0.2397111397637581,0.4433194001452582,12,0.3,14.2
1,151676,GraphST,0.2901695653073822,0.4103490116309516,6,0.5,26.2
1,151676,SpaGCN,0.32455012431462554,0.4439291552992205,6,0.3,31.6
2,151507,STAGATE,0.28902601389693316,0.4946605860817251,12,0.3,17.3
2,151507,GraphST,0.4227283918945143,0.5480805384340068,6,0.5,33.4
2,151507,SpaGCN,0.29191995085967787,0.4532277145763053,10,0.5,47.1
2,151508,STAGATE,0.23702705019196127,0.45979847167311705,12,0.3,17.0
2,151508,GraphST,0.3504431751299909,0.489213996223146,6,0.5,36.3
2,151508,SpaGCN,0.2544999776031643,0.37343088611645026,8,0.3,52.4
2,151509,STAGATE,0.22241636810949383,0.46620090058749636,13,0.3,19.5
2,151509,GraphST,0.29454209002760107,0.4153771172115044,5,0.3,42.5
