seed,sample,method,n_spots,n_layers,ari,nmi,n_clusters,res,sec
0,151507,SpatialDomainAE,4221,7,0.302775348683255,0.4238695743072797,5,0.3,83.4
0,151507,SpatialGATAE,4221,7,0.3324763739115664,0.4379514961424603,7,0.5,44.9
0,151507,ExprOnlyAE,4221,7,0.27406222180569473,0.3599997321611419,6,0.8,34.7
0,151508,SpatialDomainAE,4381,7,0.2155064396641424,0.2658531323043138,8,0.8,61.1
0,151508,SpatialGATAE,4381,7,0.19458535831967697,0.2946055732211592,9,0.8,37.6
0,151508,ExprOnlyAE,4381,7,0.17440719212204545,0.2411118289398572,6,0.8,41.6
0,151509,SpatialDomainAE,4788,7,0.1932355040091704,0.33494375669293897,9,0.8,53.6
0,151509,SpatialGATAE,4788,7,0.2482864821822428,0.40045012851351913,5,0.3,31.9
0,151509,ExprOnlyAE,4788,7,0.14214427868354249,0.26908694389296667,10,1.0,41.5
0,151510,SpatialDomainAE,4595,7,0.20786962617257382,0.3139735309802761,8,0.8,57.3
0,151510,SpatialGATAE,4595,7,0.2767292190388962,0.37931554630912706,5,0.3,34.3
0,151510,ExprOnlyAE,4595,7,0.13839068118027198,0.268593162810179,7,0.8,35.4
0,151669,SpatialDomainAE,3636,5,0.17230505587848738,0.3134705702485129,6,0.3,31.8
0,151669,SpatialGATAE,3636,5,0.10596448245865389,0.2766719385615203,8,0.3,18.2
0,151669,ExprOnlyAE,3636,5,0.18909338720884245,0.28760353327844934,4,0.5,25.6
0,151670,SpatialDomainAE,3484,5,0.13880161553570647,0.27635074379634694,6,0.3,45.3
0,151670,SpatialGATAE,3484,5,0.1961763088807497,0.3010444546606848,7,0.3,23.6
0,151670,ExprOnlyAE,3484,5,0.20546683295810236,0.2342783023545496,4,0.5,24.9
0,151671,SpatialDomainAE,4093,5,0.2422494364962568,0.2992467352836371,4,0.3,46.8
0,151671,SpatialGATAE,4093,5,0.19632231107858916,0.32413947930149256,11,0.5,24.1
0,151671,ExprOnlyAE,4093,5,0.2383542070827308,0.245694975822894,6,0.5,30.6
0,151672,SpatialDomainAE,3888,5,0.23815497364677088,0.2514949125376885,6,0.5,48.0
0,151672,SpatialGATAE,3888,5,0.29459950941407786,0.30224054825673446,7,0.5,27.0
0,151672,ExprOnlyAE,3888,5,0.2488078744979967,0.2528632921603776,6,0.8,30.9
0,151673,SpatialDomainAE,3611,7,0.2679394743370833,0.3621758771776593,7,0.3,30.8
0,151673,SpatialGATAE,3611,7,0.2702502557067204,0.36541022377245586,7,0.3,20.8
0,151673,ExprOnlyAE,3611,7,0.23378092544502302,0.3576707069186709,8,0.5,19.0
0,151674,SpatialDomainAE,3635,7,0.19036193500077514,0.325480809471944,9,0.3,32.7
0,151674,SpatialGATAE,3635,7,0.21975244563399,0.3360885837977663,9,0.3,26.6
0,151674,ExprOnlyAE,3635,7,0.2382703734268979,0.3130381631689062,4,0.3,16.9
0,151675,SpatialDomainAE,3566,7,0.23855056344259862,0.3618298494105107,8,0.5,30.8
0,151675,SpatialGATAE,3566,7,0.3266292952435433,0.3802394879065345,7,0.3,18.7
0,151675,ExprOnlyAE,3566,7,0.29720941673784973,0.3632358854301392,7,0.5,20.2
0,151676,SpatialDomainAE,3431,7,0.2882529350819518,0.38762558197885155,5,0.3,35.2
0,151676,SpatialGATAE,3431,7,0.2837887843419925,0.37218575153084466,6,0.3,21.8
0,151676,ExprOnlyAE,3431,7,0.2673031665110937,0.3636138879612771,6,0.5,19.7
1,151507,SpatialDomainAE,4221,7,0.274479903161394,0.3868664670088962,6,0.5,47.7
1,151507,SpatialGATAE,4221,7,0.33370773184674013,0.42942880955176066,6,0.5,30.3
1,151507,ExprOnlyAE,4221,7,0.31209161884421477,0.3910770606479388,7,0.8,32.2
1,151508,SpatialDomainAE,4381,7,0.1520952088787914,0.21879101809486934,8,0.8,57.0
1,151508,SpatialGATAE,4381,7,0.21031311455405377,0.2625947748408348,6,0.8,42.2
1,151508,ExprOnlyAE,4381,7,0.1863329917906949,0.2650111300280673,5,0.8,37.9
1,151509,SpatialDomainAE,4788,7,0.1591859877890307,0.3145789483292459,10,0.8,59.9
1,151509,SpatialGATAE,4788,7,0.21453094665553837,0.3861914189576711,7,0.5,44.5
1,151509,ExprOnlyAE,4788,7,0.24906503778523378,0.3145794895054035,7,0.8,41.7
1,151510,SpatialDomainAE,4595,7,0.19462151383134257,0.3038797396528407,7,0.8,46.1
1,151510,SpatialGATAE,4595,7,0.26744194593215065,0.3617734297150492,6,0.5,30.0
1,151510,ExprOnlyAE,4595,7,0.13972263037647745,0.2520064056953365,5,0.5,30.4
1,151669,SpatialDomainAE,3636,5,0.22778099207505562,0.23908369501181892,4,0.5,32.2
1,151669,SpatialGATAE,3636,5,0.16187359142580518,0.3132676329115349,6,0.3,16.2
1,151669,ExprOnlyAE,3636,5,0.23708702967148235,0.2970441092879821,3,0.3,22.6
1,151670,SpatialDomainAE,3484,5,0.21732313410951748,0.28336676882674566,6,0.5,34.0
1,151670,SpatialGATAE,3484,5,0.27071731518381276,0.29307643784325704,6,0.3,16.8
1,151670,ExprOnlyAE,3484,5,0.21210417621675176,0.2693315130643653,4,0.5,21.5
1,151671,SpatialDomainAE,4093,5,0.21898542193123086,0.24566981136289426,6,0.5,36.7
1,151671,SpatialGATAE,4093,5,0.25621764802851893,0.3353982952077754,7,0.3,21.5
1,151671,ExprOnlyAE,4093,5,0.19858677351182655,0.2615673822794453,6,0.5,24.0
1,151672,SpatialDomainAE,3888,5,0.23318974928283095,0.2525825479765681,6,0.5,34.6
1,151672,SpatialGATAE,3888,5,0.28087547571238036,0.3261959157993645,4,0.3,26.2
1,151672,ExprOnlyAE,3888,5,0.2274435163693267,0.22282055977030377,5,0.8,22.6
1,151673,SpatialDomainAE,3611,7,0.2588225023330489,0.3765793910350427,6,0.3,26.7
1,151673,SpatialGATAE,3611,7,0.24208704651414917,0.35483158800159725,6,0.3,17.7
1,151673,ExprOnlyAE,3611,7,0.24795425304842458,0.3501029410943932,5,0.3,15.8
1,151674,SpatialDomainAE,3635,7,0.22434733991229092,0.32544524444787293,8,0.3,26.5
1,151674,SpatialGATAE,3635,7,0.2394260279753766,0.3358929143574592,9,0.3,15.7
1,151674,ExprOnlyAE,3635,7,0.2478488946722254,0.31157242736400437,5,0.3,15.3
1,151675,SpatialDomainAE,3566,7,0.2972900124921062,0.3759834146948876,5,0.3,26.5
1,151675,SpatialGATAE,3566,7,0.24853024626841516,0.3545040980103008,8,0.3,18.0
1,151675,ExprOnlyAE,3566,7,0.28835966446478434,0.3508239777117989,6,0.5,15.9
1,151676,SpatialDomainAE,3431,7,0.30223965728999386,0.41549371821940295,5,0.3,27.6
1,151676,SpatialGATAE,3431,7,0.2563853546123068,0.3325156836687795,7,0.3,16.5
1,151676,ExprOnlyAE,3431,7,0.26259090000007085,0.35654292997866155,9,0.8,16.9
2,151507,SpatialDomainAE,4221,7,0.3302760865392829,0.4478341620458685,6,0.5,40.2
2,151507,SpatialGATAE,4221,7,0.34661691234249165,0.425704953313068,6,0.5,28.3
2,151507,ExprOnlyAE,4221,7,0.3023490886618588,0.3657528512493855,9,1.0,31.8
2,151508,SpatialDomainAE,4381,7,0.17591038876646725,0.23061354163359957,9,1.0,43.9
2,151508,SpatialGATAE,4381,7,0.18057512787911037,0.2854647269610446,9,1.0,29.2
2,151508,ExprOnlyAE,4381,7,0.16485979584664423,0.23338492461373356,9,1.0,30.6
2,151509,SpatialDomainAE,4788,7,0.2021574985421218,0.30674391450863986,5,0.5,52.0
2,151509,SpatialGATAE,4788,7,0.20050183482121364,0.35084958301687574,7,0.5,33.2
2,151509,ExprOnlyAE,4788,7,0.16907341091866834,0.3125891640338452,9,1.0,34.9
2,151510,SpatialDomainAE,4595,7,0.17060816522563732,0.3009317663830915,6,0.5,43.1
2,151510,SpatialGATAE,4595,7,0.28752784620039845,0.37644455823391887,5,0.3,29.7
2,151510,ExprOnlyAE,4595,7,0.17322955092128003,0.26028678088915225,7,0.8,25.5
2,151669,SpatialDomainAE,3636,5,0.2629573059596754,0.3190379045535788,5,0.3,21.5
2,151669,SpatialGATAE,3636,5,0.17297485235747448,0.3062622092237,8,0.3,13.1
2,151669,ExprOnlyAE,3636,5,0.19342644420529376,0.2583996546952787,8,0.8,16.8
2,151670,SpatialDomainAE,3484,5,0.2543091065744887,0.33400930799619793,5,0.3,22.8
2,151670,SpatialGATAE,3484,5,0.1487269358270039,0.2965224670082625,7,0.3,12.5
2,151670,ExprOnlyAE,3484,5,0.4943762747953861,0.36318089808153753,2,0.3,17.7
2,151671,SpatialDomainAE,4093,5,0.26292891004264557,0.3063145473534657,4,0.3,28.7
2,151671,SpatialGATAE,4093,5,0.29285251177785204,0.3473884963427536,7,0.3,22.6
2,151671,ExprOnlyAE,4093,5,0.24681433197579256,0.26917620001851406,6,0.5,28.4
2,151672,SpatialDomainAE,3888,5,0.13230269864227992,0.19947736024248364,6,0.5,47.9
2,151672,SpatialGATAE,3888,5,0.29606919474574306,0.3433646548143664,5,0.3,31.3
2,151672,ExprOnlyAE,3888,5,0.25608519256867757,0.25398284843066454,7,0.8,35.3
2,151673,SpatialDomainAE,3611,7,0.26724784378368466,0.3833409795042726,6,0.3,46.1
2,151673,SpatialGATAE,3611,7,0.24509068572354803,0.3542725474721113,7,0.3,26.2
2,151673,ExprOnlyAE,3611,7,0.2707550282800041,0.37176730884387105,5,0.3,26.7
2,151674,SpatialDomainAE,3635,7,0.2230701799386052,0.3314821483649095,11,0.5,32.1
2,151674,SpatialGATAE,3635,7,0.1812499332716879,0.2964205585148037,13,0.5,28.0
2,151674,ExprOnlyAE,3635,7,0.2741582484068605,0.32172826587837505,7,0.3,26.0
2,151675,SpatialDomainAE,3566,7,0.2873242033771049,0.34890836878118703,6,0.3,43.3
2,151675,SpatialGATAE,3566,7,0.25408984362557874,0.3752261785884635,7,0.3,26.5
2,151675,ExprOnlyAE,3566,7,0.27727863284408094,0.3422190199189413,6,0.5,21.2
2,151676,SpatialDomainAE,3431,7,0.27867798721001874,0.36708057696139734,6,0.3,36.3
2,151676,SpatialGATAE,3431,7,0.23526215284103827,0.3151941022986025,7,0.3,26.8
2,151676,ExprOnlyAE,3431,7,0.2657370943574834,0.35398263921973533,6,0.5,24.5
