seed,sample,variant,n_feat_edges,ari,nmi,n_clusters,res,sec
0,1DPI,full,51740,0.5105599458067918,0.6994886475628321,20,2.0,111.3
0,1DPI,prune_lr,25870,0.49508407768313034,0.6683663626169635,11,1.0,107.4
0,1DPI,local_feat,51740,0.5011709637042197,0.6716209660590456,11,1.0,95.8
0,1DPI,rand_feat,51740,0.508475286472433,0.6850159399334632,11,1.0,111.0
0,1DPI,dist_matched,51740,0.48466558525675224,0.6613476822237988,9,0.8,107.4
0,1DPI,spatial_only,0,0.4907372914248412,0.6722936936757723,8,0.5,81.3
0,3DPI,full,51460,0.7220271185698092,0.8103849257687117,14,1.0,142.9
0,3DPI,prune_lr,25812,0.6769110778970887,0.7776228774406678,14,1.0,142.6
0,3DPI,local_feat,51460,0.6684559251153948,0.7892041419484511,11,0.8,139.2
0,3DPI,rand_feat,51460,0.7256726017830248,0.7984657433508255,14,1.0,148.4
0,3DPI,dist_matched,51460,0.6923968424477313,0.7855648902963432,12,1.0,145.7
0,3DPI,spatial_only,0,0.683985211439473,0.7941552796719894,12,1.0,110.2
0,7DPI,full,51920,0.6500210604125038,0.767060831217466,11,1.0,140.2
0,7DPI,prune_lr,26053,0.6490667310096442,0.7634289014248646,12,1.0,143.7
0,7DPI,local_feat,51920,0.6215392028240637,0.7511962574139465,11,1.0,140.5
0,7DPI,rand_feat,51920,0.612297380654928,0.7439467935879762,10,0.8,140.7
0,7DPI,dist_matched,51920,0.6205256071333828,0.7520412287685506,11,1.0,135.2
0,7DPI,spatial_only,0,0.6059239138583049,0.7329209754472471,10,1.0,120.0
0,Ctrl,full,48340,0.556909453794834,0.7087170606853076,14,1.0,147.0
0,Ctrl,prune_lr,24191,0.5809440016142219,0.719638498734831,16,1.0,145.6
0,Ctrl,local_feat,48340,0.5496089840166342,0.6913909628354956,12,0.8,167.6
0,Ctrl,rand_feat,48340,0.5658569868596917,0.6952420733511852,12,0.8,173.3
0,Ctrl,dist_matched,48340,0.5705985730278099,0.7030367778269384,13,1.0,146.2
0,Ctrl,spatial_only,0,0.5719396280814113,0.6989852414889103,11,1.0,112.5
1,1DPI,full,51740,0.504203863696576,0.6833853898919053,10,1.0,235.7
1,1DPI,prune_lr,25870,0.5003300319827623,0.6707526373451544,11,1.0,242.5
1,1DPI,local_feat,51740,0.5001020734871946,0.6723296137356751,10,0.8,235.3
1,1DPI,rand_feat,51740,0.48318265909294317,0.6667371201869572,9,0.8,199.5
1,1DPI,dist_matched,51740,0.5059908448970178,0.679585804873327,12,1.0,131.1
1,1DPI,spatial_only,0,0.5001690445373825,0.6828059330954581,11,1.0,83.8
1,3DPI,full,51460,0.6881316480775767,0.7858530408372255,12,0.8,115.8
1,3DPI,prune_lr,25812,0.6520005644962068,0.7687442272887041,14,1.0,117.2
1,3DPI,local_feat,51460,0.6752020398439132,0.7827434061215884,13,1.0,219.9
1,3DPI,rand_feat,51460,0.6596572240858133,0.7695545004974251,13,1.0,219.5
1,3DPI,dist_matched,51460,0.6638693706468471,0.7764581710763303,12,1.0,213.1
1,3DPI,spatial_only,0,0.6937938749809793,0.7788704917520335,13,0.8,181.9
1,7DPI,full,51920,0.6440242588694998,0.7629375459318823,10,0.8,207.3
1,7DPI,prune_lr,26053,0.6723653676454456,0.7743731743538098,11,1.0,204.6
1,7DPI,local_feat,51920,0.6513262106039014,0.7675806242076536,11,1.0,113.5
1,7DPI,rand_feat,51920,0.6754437108142388,0.7746854925341837,12,1.0,116.0
1,7DPI,dist_matched,51920,0.6374758960136901,0.7575446209934174,11,1.0,111.1
1,7DPI,spatial_only,0,0.6089438336755857,0.7463976868732511,10,0.8,92.6
1,Ctrl,full,48340,0.575187993233408,0.7079846790978628,12,1.0,109.9
1,Ctrl,prune_lr,24191,0.5668590057203615,0.7009676080501358,11,0.8,42.6
1,Ctrl,local_feat,48340,0.5663952365996487,0.7055976568888894,11,0.8,44.0
1,Ctrl,rand_feat,48340,0.5533690376540029,0.6936165050265203,11,0.8,42.7
1,Ctrl,dist_matched,48340,0.5625346859952198,0.697860510192747,11,0.8,45.0
1,Ctrl,spatial_only,0,0.5732826449764138,0.7062026469136496,11,0.8,34.2
2,1DPI,full,51740,0.5074414578711902,0.6924590646254454,21,2.0,43.2
2,1DPI,prune_lr,25870,0.5239647204682579,0.6869927126299122,11,1.0,42.5
2,1DPI,local_feat,51740,0.4980182707621356,0.6776736924125013,10,0.8,43.4
2,1DPI,rand_feat,51740,0.506117407352038,0.6919447254101018,9,0.8,43.4
2,1DPI,dist_matched,51740,0.5198071171743687,0.6933629244902481,11,1.0,43.1
2,1DPI,spatial_only,0,0.47218129438610534,0.6503481279209194,11,1.0,32.7
2,3DPI,full,51460,0.6924042702411378,0.7875275392493414,13,0.8,43.9
2,3DPI,prune_lr,25812,0.681398075605095,0.772609316835532,13,1.0,42.8
2,3DPI,local_feat,51460,0.641594916784326,0.7832222477365034,15,1.5,45.0
2,3DPI,rand_feat,51460,0.6633006794380973,0.7752231165721069,12,1.0,41.7
2,3DPI,dist_matched,51460,0.6546778186550486,0.7722830169253385,13,1.0,45.8
2,3DPI,spatial_only,0,0.7042817701703514,0.7826730749223632,14,1.0,34.4
2,7DPI,full,51920,0.6604257235026939,0.7681138938047968,12,1.0,45.0
2,7DPI,prune_lr,26053,0.6352202132799741,0.7603366670852681,13,1.0,45.3
2,7DPI,local_feat,51920,0.6277590232551927,0.7560350969555032,11,0.8,44.9
2,7DPI,rand_feat,51920,0.6460095557083421,0.7583924009742365,11,1.0,42.0
2,7DPI,dist_matched,51920,0.675460574476469,0.7795473174402353,12,1.0,44.6
2,7DPI,spatial_only,0,0.608516624947331,0.743578162783575,10,0.8,36.1
2,Ctrl,full,48340,0.5788203803308353,0.7105766567695458,12,1.0,43.4
2,Ctrl,prune_lr,24191,0.5660813832488278,0.6955363882768912,11,0.8,43.3
2,Ctrl,local_feat,48340,0.5463854773467878,0.6851434659701846,9,0.5,44.1
2,Ctrl,rand_feat,48340,0.5482532239351059,0.6891945665523186,9,0.5,40.9
2,Ctrl,dist_matched,48340,0.5625559843049626,0.6986699080536429,11,0.8,45.3
2,Ctrl,spatial_only,0,0.5464952653543678,0.686713979862859,9,0.5,34.8
