seed,sample,variant,n_feat_edges,ari,nmi,n_clusters,res,sec
3,1DPI,full,51740,0.5196070646040681,0.6853303960504497,10,0.5,66.3
3,1DPI,prune_lr,25870,0.49290349097997294,0.6705571045338287,10,0.5,151.8
3,1DPI,local_feat,51740,0.5073411641947899,0.6904453596729249,8,0.3,150.4
3,1DPI,rand_feat,51740,0.5014515656108164,0.6838813387408345,15,0.8,141.0
3,1DPI,dist_matched,51740,0.49466421998243315,0.6783154728442337,17,0.8,148.9
3,1DPI,spatial_only,0,0.5036527747191304,0.6913338427072021,14,0.8,109.6
3,3DPI,full,51460,0.7233950315752764,0.8014420168890607,15,1.0,140.3
3,3DPI,prune_lr,25812,0.7269973190565777,0.8041848875513502,16,1.0,145.3
3,3DPI,local_feat,51460,0.7044943589661675,0.796469867852287,14,0.8,144.7
3,3DPI,rand_feat,51460,0.710174417611471,0.7883222958972589,15,1.0,141.7
3,3DPI,dist_matched,51460,0.6899937932854783,0.7764887978553553,16,1.0,146.0
3,3DPI,spatial_only,0,0.6925885913037272,0.7917623408759622,13,0.8,123.4
3,7DPI,full,51920,0.6305915761322661,0.7578374225272947,11,0.5,151.4
3,7DPI,prune_lr,26053,0.6061346450483128,0.7558430526241136,13,0.8,147.8
3,7DPI,local_feat,51920,0.6164957616836755,0.7533840194223962,10,0.5,148.9
3,7DPI,rand_feat,51920,0.6246390210106617,0.7581412185314158,10,0.5,140.4
3,7DPI,dist_matched,51920,0.5882121994322923,0.740210915263615,9,0.5,143.2
3,7DPI,spatial_only,0,0.6190953284728222,0.7510585927246715,14,0.8,118.0
3,Ctrl,full,48340,0.573751448132111,0.7293648337055909,17,1.0,143.6
3,Ctrl,prune_lr,24191,0.5645434757844966,0.7154831817387822,17,1.0,146.8
3,Ctrl,local_feat,48340,0.5674037852909466,0.7045398845401872,13,0.8,143.5
3,Ctrl,rand_feat,48340,0.5717992788098692,0.7183689494263539,16,1.0,142.6
3,Ctrl,dist_matched,48340,0.5747825299025713,0.710438399125409,14,0.8,142.8
3,Ctrl,spatial_only,0,0.5683492607148852,0.7120772182649668,11,0.5,112.9
4,1DPI,full,51740,0.5249302664170028,0.6988604650660594,19,1.0,140.1
4,1DPI,prune_lr,25870,0.535002966872142,0.6959786121729237,14,0.8,132.5
4,1DPI,local_feat,51740,0.515864834415557,0.6821472870680089,12,0.8,134.7
4,1DPI,rand_feat,51740,0.531725945847928,0.6924818412163407,14,0.8,138.6
4,1DPI,dist_matched,51740,0.502563592038501,0.6809702345659665,10,0.5,130.3
4,1DPI,spatial_only,0,0.4969366498222423,0.6633325582127392,10,0.8,108.5
4,3DPI,full,51460,0.7192133277492813,0.7946940208379506,15,0.8,139.3
4,3DPI,prune_lr,25812,0.7277633721506467,0.8048309597416031,15,1.0,131.7
4,3DPI,local_feat,51460,0.6752516336849279,0.7711460581484858,12,0.8,137.7
4,3DPI,rand_feat,51460,0.699113628933768,0.7846319617767088,14,0.8,133.8
4,3DPI,dist_matched,51460,0.7132022578749942,0.7903446040580406,14,1.0,134.2
4,3DPI,spatial_only,0,0.7155557808437795,0.7971119679223664,15,1.0,125.6
4,7DPI,full,51920,0.6314264889983981,0.7577686390379773,11,0.5,146.5
4,7DPI,prune_lr,26053,0.6081385969738665,0.7444072767699953,10,0.5,145.8
4,7DPI,local_feat,51920,0.6342807822582668,0.761243686788711,14,0.8,109.1
4,7DPI,rand_feat,51920,0.6406292251228766,0.7679346997994756,13,0.8,107.3
4,7DPI,dist_matched,51920,0.6132897516433622,0.7481964769920468,10,0.5,107.7
4,7DPI,spatial_only,0,0.6349755524602885,0.7602347122230017,14,0.8,85.4
4,Ctrl,full,48340,0.5590159922020875,0.7253453817289023,19,1.0,107.1
4,Ctrl,prune_lr,24191,0.5849322123369893,0.726073689261912,16,0.8,106.2
4,Ctrl,local_feat,48340,0.579039055710193,0.7247739769910858,17,1.0,106.1
4,Ctrl,rand_feat,48340,0.5429668848853356,0.6926660968139106,10,0.5,105.4
4,Ctrl,dist_matched,48340,0.5543759653816491,0.7224351746239223,17,1.0,104.1
4,Ctrl,spatial_only,0,0.5502264209593442,0.70787093575716,16,0.8,84.5
5,1DPI,full,51740,0.5274824577865629,0.7074497619525695,14,0.8,104.8
5,1DPI,prune_lr,25870,0.5003380091605506,0.6846508897723733,9,0.5,104.2
5,1DPI,local_feat,51740,0.49543015753434005,0.6741760158270667,10,0.5,102.6
5,1DPI,rand_feat,51740,0.4846172447397162,0.6803241521195039,9,0.5,103.8
5,1DPI,dist_matched,51740,0.5003868606888752,0.6829292012854677,9,0.5,106.9
5,1DPI,spatial_only,0,0.49599296513599533,0.6796163909008944,13,0.8,81.7
5,3DPI,full,51460,0.7187664727939121,0.8056106765955574,16,1.0,104.1
5,3DPI,prune_lr,25812,0.6967661391302351,0.7964905760110773,16,0.8,104.7
5,3DPI,local_feat,51460,0.7047796686369184,0.7889096342081051,16,1.0,108.9
5,3DPI,rand_feat,51460,0.7012572864950695,0.7907199248225312,16,1.0,100.9
5,3DPI,dist_matched,51460,0.7112606639851591,0.7934844400856702,15,1.0,104.1
5,3DPI,spatial_only,0,0.7071716222986638,0.7973215889464587,13,0.8,91.0
5,7DPI,full,51920,0.6075735910606379,0.7471098525786541,10,0.5,111.1
5,7DPI,prune_lr,26053,0.6057571583221105,0.741170803304234,10,0.5,109.5
5,7DPI,local_feat,51920,0.6133602079762186,0.7463261852246263,10,0.5,108.5
5,7DPI,rand_feat,51920,0.6452254799095658,0.7671603742264627,14,0.8,105.0
5,7DPI,dist_matched,51920,0.5907694787742477,0.7443838226767557,14,0.8,69.8
5,7DPI,spatial_only,0,0.619569016932459,0.751831569445963,10,0.5,30.8
5,Ctrl,full,48340,0.57716495781845,0.7176898636177004,11,0.5,14.3
5,Ctrl,prune_lr,24191,0.5647947921812184,0.7123446315224239,13,0.5,15.2
5,Ctrl,local_feat,48340,0.5463070187830034,0.6950017592637774,10,0.5,14.5
5,Ctrl,rand_feat,48340,0.5714934645560424,0.7140158155297086,11,0.5,13.6
5,Ctrl,dist_matched,48340,0.5720113232808527,0.7131972453247906,15,0.8,13.6
5,Ctrl,spatial_only,0,0.5560239400122338,0.7015302735359745,15,0.8,10.9
6,1DPI,full,51740,0.4994674887975434,0.6854086569049327,9,0.5,14.1
6,1DPI,prune_lr,25870,0.53308209761439,0.7016960160966955,12,0.8,14.2
6,1DPI,local_feat,51740,0.5082671367583188,0.6924306019995818,9,0.5,13.9
6,1DPI,rand_feat,51740,0.5124193804642974,0.686533680291539,10,0.5,14.3
6,1DPI,dist_matched,51740,0.48800265754044403,0.686183225941345,15,1.0,14.1
6,1DPI,spatial_only,0,0.5152681420046628,0.6937476817348384,9,0.5,12.3
6,3DPI,full,51460,0.6899022752069746,0.7837870249216675,14,0.8,13.8
6,3DPI,prune_lr,25812,0.6925080373950694,0.7920131428304693,14,0.8,14.7
6,3DPI,local_feat,51460,0.6845307299629535,0.7842181021099501,14,0.8,14.1
6,3DPI,rand_feat,51460,0.6965194574261366,0.8003235856427471,14,0.8,14.7
6,3DPI,dist_matched,51460,0.688004052272542,0.7937509860871317,13,0.8,14.2
6,3DPI,spatial_only,0,0.717342558678508,0.7957564353815895,14,0.8,11.3
6,7DPI,full,51920,0.5683787591422018,0.7246996841156171,14,0.8,14.0
6,7DPI,prune_lr,26053,0.611745393272722,0.7460738059823029,15,0.8,14.4
6,7DPI,local_feat,51920,0.6012664892109412,0.7439553063625644,11,0.5,13.7
6,7DPI,rand_feat,51920,0.6180124865375229,0.7465926701098318,13,0.8,14.7
