,model,test_sample,accuracy,f1_macro,f1_weighted,ari,nmi
CLIP_Multi_1DPI,CLIP_Multi,1DPI,0.9470429068419018,0.9327086560622662,0.9481593937116725,0.7899220833274065,0.6770796500768119
CLIP_Img_1DPI,CLIP_Img,1DPI,0.3076923076923077,0.28060395322460063,0.2111563193601804,-0.05737127175817566,0.038838015621837425
CLIP_Expr_1DPI,CLIP_Expr,1DPI,0.9489756474681098,0.935016921130633,0.9500001411442548,0.7970023919122117,0.6843402214742562
ConcatGraph_1DPI,ConcatGraph,1DPI,0.9636644762272903,0.9532505352067621,0.9642273919581296,0.8526347165036644,0.7540418913312419
ExprOnly_1DPI,ExprOnly,1DPI,0.9644375724777735,0.9535380747126436,0.9647333290013285,0.8547970579772439,0.743726613432191
ImageOnly_1DPI,ImageOnly,1DPI,0.6165442597603401,0.6105481303061464,0.6345886867159514,0.03928774580385334,0.19283942212512684
ExprGraph_1DPI,ExprGraph,1DPI,0.9547738693467337,0.942375054949302,0.9556727833905473,0.818939757243675,0.7155944068758728
RF_1DPI,RF,1DPI,0.8964051024352532,0.8380390397966716,0.8864080820477047,0.5766898287061002,0.5012462308965876
CLIP_Multi_3DPI,CLIP_Multi,3DPI,0.9510299261562378,0.9290993594846484,0.9528996180737318,0.7942767616120926,0.7015054389742071
CLIP_Img_3DPI,CLIP_Img,3DPI,0.8620287602020987,0.816654352159575,0.8717062706674181,0.49603183666084233,0.3902502020117489
CLIP_Expr_3DPI,CLIP_Expr,3DPI,0.9518072289156626,0.9301372502649534,0.9536218816986948,0.7972475999125126,0.7044957761605337
ConcatGraph_3DPI,ConcatGraph,3DPI,0.9506412747765255,0.9285813417714492,0.9525387375454936,0.7927946112526763,0.7000201197352467
ExprOnly_3DPI,ExprOnly,3DPI,0.9533618344345123,0.9321348124937358,0.9550434748106406,0.8030887397718554,0.7076166036110866
ImageOnly_3DPI,ImageOnly,3DPI,0.9401476875242907,0.9086412272595643,0.9410234461815499,0.7445422142909164,0.5857269665382493
ExprGraph_3DPI,ExprGraph,3DPI,0.9479207151185387,0.9249723636680158,0.9500171913578697,0.782480182414909,0.6898014493333461
RF_3DPI,RF,3DPI,0.9778468713563934,0.9660669775822852,0.978134375360115,0.9014746811027746,0.8098312181956361
CLIP_Multi_7DPI,CLIP_Multi,7DPI,0.9445300462249615,0.8365522343422895,0.9407431466613038,0.6288151101115852,0.436658928223574
CLIP_Img_7DPI,CLIP_Img,7DPI,0.8956086286594761,0.7420379164471197,0.8981387502286262,0.42084010656827053,0.2209657940603266
CLIP_Expr_7DPI,CLIP_Expr,7DPI,0.9426040061633282,0.8318073091752338,0.9388704677266151,0.6183243628780928,0.4227901088952733
ConcatGraph_7DPI,ConcatGraph,7DPI,0.9183359013867488,0.7898068835083314,0.9187157901095422,0.5208287306200456,0.30951909575534775
ExprOnly_7DPI,ExprOnly,7DPI,0.9375963020030816,0.8140598471986418,0.9329257366040481,0.581931115474265,0.38583398578994965
ImageOnly_7DPI,ImageOnly,7DPI,0.9256548536209553,0.8071479077487181,0.9257130879923913,0.5576804425067613,0.3456470486635307
ExprGraph_7DPI,ExprGraph,7DPI,0.9283513097072419,0.8108746230073245,0.9277771323528924,0.5667655862166944,0.35472208126393223
RF_7DPI,RF,7DPI,0.9375963020030816,0.8005077529087639,0.9302067705463248,0.5588174564353832,0.38494224174784175
CLIP_Multi_Ctrl,CLIP_Multi,Ctrl,0.9776582540339264,0.5724646226415094,0.9738697882920507,0.14291833439854226,0.054521502125982835
CLIP_Img_Ctrl,CLIP_Img,Ctrl,0.32519652461729415,0.25868000021813886,0.4728374841607231,-0.002211033639815679,0.00017537938317320652
CLIP_Expr_Ctrl,CLIP_Expr,Ctrl,0.9780719900703351,0.5738106882521051,0.9741221132896132,0.14575444757525036,0.056894171266990166
ConcatGraph_Ctrl,ConcatGraph,Ctrl,0.9681423251965247,0.5280410211673889,0.9675766422864615,0.05424016852825316,0.010296900439592386
ExprOnly_Ctrl,ExprOnly,Ctrl,0.9764170459247,0.5416454571767924,0.9721690652359991,0.082837597674414,0.02426142625630024
ImageOnly_Ctrl,ImageOnly,Ctrl,0.82829954489036,0.46921145445549534,0.8902548844372205,0.00047975405191821185,2.423926434951101e-06
ExprGraph_Ctrl,ExprGraph,Ctrl,0.9689697972693422,0.5291472831973568,0.9680283963402497,0.056469963486386394,0.011116223776741034
RF_Ctrl,RF,Ctrl,0.9822093504344228,0.5177327672211781,0.9741808766099106,0.042151452343454465,0.023027234856394744
