,Hypoxia/Ischemic core,Inflammation/Penumbra,Reactive astrocytes/Glial scar,Excitatory neurons (Cortex),Medium spiny neurons (Striatum),Oligodendrocytes,Microglia
0,0.125,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
10,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
11,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333
17,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
2,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333
20,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
6,0.125,0.0,0.0,0.5,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
9,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
