seed,sample,method,ari,nmi,n_clusters,res,sec
0,1DPI,SpatialDomainAE,0.5114776172569089,0.6934001677674819,17,1.5,85.7
0,1DPI,SpatialGATAE,0.49231838825083907,0.6640361288648381,11,0.8,61.2
0,1DPI,ExprOnlyAE,0.4590019698524415,0.6398182515701911,9,0.8,55.7
0,3DPI,SpatialDomainAE,0.6851109215693278,0.7867124443319388,13,1.0,79.4
0,3DPI,SpatialGATAE,0.6860421006171824,0.7823871471623625,15,1.0,63.2
0,3DPI,ExprOnlyAE,0.6817767548688229,0.7768694287515396,12,1.0,58.7
0,7DPI,SpatialDomainAE,0.6454382646747705,0.7654965845540447,10,0.8,77.5
0,7DPI,SpatialGATAE,0.6339495665746785,0.7509199371388755,11,1.0,63.5
0,7DPI,ExprOnlyAE,0.6328683738321749,0.7444487460149187,10,0.8,55.6
0,Ctrl,SpatialDomainAE,0.5796555500981692,0.7282735134956595,18,1.5,77.6
0,Ctrl,SpatialGATAE,0.5545127726875687,0.693039767484271,10,0.8,62.9
0,Ctrl,ExprOnlyAE,0.5933481046287473,0.7139424103659401,13,1.5,56.7
1,1DPI,SpatialDomainAE,0.5006319216932031,0.6842385495888865,10,1.0,73.9
1,1DPI,SpatialGATAE,0.5123144262104952,0.6886198408661136,11,0.8,60.3
1,1DPI,ExprOnlyAE,0.47792191091855374,0.6771403048118365,13,1.5,55.1
1,3DPI,SpatialDomainAE,0.6625868608163281,0.783337855921758,12,1.0,78.4
1,3DPI,SpatialGATAE,0.6756703269343154,0.7658111354818885,12,1.0,63.8
1,3DPI,ExprOnlyAE,0.6388472152650028,0.7605279050509599,12,1.0,57.6
1,7DPI,SpatialDomainAE,0.6353900862311969,0.7710201295599388,17,1.5,78.9
1,7DPI,SpatialGATAE,0.6034048984694793,0.7433246065443555,10,0.8,64.2
1,7DPI,ExprOnlyAE,0.6493470507855619,0.7600006384345636,11,1.0,57.5
1,Ctrl,SpatialDomainAE,0.5933172734260889,0.7274175996261865,16,1.5,76.2
1,Ctrl,SpatialGATAE,0.5476903476472293,0.6872760024428729,11,0.8,63.5
1,Ctrl,ExprOnlyAE,0.5857194595784098,0.7307055993360596,18,2.0,58.4
2,1DPI,SpatialDomainAE,0.5000594641120445,0.6919829085738353,17,1.5,75.0
2,1DPI,SpatialGATAE,0.4847476147100709,0.6552620813690639,11,1.0,59.9
2,1DPI,ExprOnlyAE,0.4985157453629866,0.683985729503217,18,2.0,53.8
2,3DPI,SpatialDomainAE,0.6823329914746208,0.7853543726698075,13,1.0,78.0
2,3DPI,SpatialGATAE,0.7504361172898343,0.8056361981545762,15,1.0,63.8
2,3DPI,ExprOnlyAE,0.6548275562611966,0.7767522129882983,17,1.5,56.3
2,7DPI,SpatialDomainAE,0.6702396292124547,0.773754634895664,12,1.0,76.9
2,7DPI,SpatialGATAE,0.6281521650109025,0.7517403050149477,11,0.8,65.9
2,7DPI,ExprOnlyAE,0.6384527736915941,0.7399267511021488,11,1.0,58.6
2,Ctrl,SpatialDomainAE,0.5742270692826813,0.7023700717140017,11,1.0,77.6
2,Ctrl,SpatialGATAE,0.5643760370314265,0.7065748942421884,10,0.8,62.8
2,Ctrl,ExprOnlyAE,0.588882560858267,0.7251324330606188,14,1.5,58.6
3,1DPI,SpatialDomainAE,0.49269485796146234,0.675051572540869,8,0.5,72.9
3,1DPI,SpatialGATAE,0.49199964522520045,0.6880543100670774,12,1.0,60.3
3,1DPI,ExprOnlyAE,0.48041256462527,0.6680716020994799,11,1.0,54.5
3,3DPI,SpatialDomainAE,0.7148363888054119,0.7992303098732391,14,1.0,74.9
3,3DPI,SpatialGATAE,0.6839676847627677,0.7832873878950126,13,1.0,62.3
3,3DPI,ExprOnlyAE,0.7103693724016154,0.793818216759481,14,1.0,57.1
3,7DPI,SpatialDomainAE,0.6321689711265642,0.7586417646975546,10,0.8,76.9
3,7DPI,SpatialGATAE,0.6028924345006205,0.744566073429116,12,1.0,62.1
3,7DPI,ExprOnlyAE,0.6157930008085879,0.7396954369612748,10,0.8,60.1
3,Ctrl,SpatialDomainAE,0.5859226992203276,0.7224909085132052,16,1.5,75.1
3,Ctrl,SpatialGATAE,0.5622504685875592,0.7137624417744931,12,1.0,62.2
3,Ctrl,ExprOnlyAE,0.608597436736605,0.7307947848045843,15,1.5,52.0
4,1DPI,SpatialDomainAE,0.5148051760192358,0.6961144949101752,12,1.0,72.6
4,1DPI,SpatialGATAE,0.49821188252878207,0.6691805134698124,9,0.8,59.1
4,1DPI,ExprOnlyAE,0.4924664774846838,0.6786761157836602,11,1.0,52.3
4,3DPI,SpatialDomainAE,0.7512432101465256,0.8079003687044027,14,1.0,76.9
4,3DPI,SpatialGATAE,0.6995756129604875,0.7868734554806012,14,1.0,64.8
4,3DPI,ExprOnlyAE,0.7047543129781729,0.7801519345293861,13,1.0,56.7
4,7DPI,SpatialDomainAE,0.6343993860926233,0.7595319497801006,11,0.8,75.3
4,7DPI,SpatialGATAE,0.6390659549743617,0.7620814541316508,11,1.0,62.7
4,7DPI,ExprOnlyAE,0.6640195394328916,0.7655913644374087,12,1.0,55.9
4,Ctrl,SpatialDomainAE,0.6049623975517335,0.7280566010694203,11,1.0,76.9
4,Ctrl,SpatialGATAE,0.5659839324126453,0.6956845425420538,12,0.8,62.3
4,Ctrl,ExprOnlyAE,0.6076998433034488,0.724828471982132,14,1.5,56.2
