seed,sample,axis,param,value,ari,nmi,n_clusters,res,sec
0,1DPI,kf,k_feature,10,0.5174550983070096,0.7000012255365884,9,0.5,41.9
0,1DPI,kf,k_feature,15,0.5284037643456011,0.6880162325372611,11,0.8,97.3
0,1DPI,kf,k_feature,20,0.5254005723533848,0.6984668406835517,14,0.8,146.1
0,1DPI,kf,k_feature,30,0.5283714484457692,0.6950603386983761,16,1.0,139.3
0,1DPI,kf,k_feature,50,0.526124982097904,0.7034032033835801,9,0.5,151.7
0,3DPI,kf,k_feature,10,0.7360353631471868,0.8068057209052122,14,0.8,153.3
0,3DPI,kf,k_feature,15,0.7328868590652716,0.8146035554710996,14,0.8,149.7
0,3DPI,kf,k_feature,20,0.7002788248824838,0.7914059175108452,16,1.0,154.7
0,3DPI,kf,k_feature,30,0.7418834524415637,0.8116646986555828,14,0.8,157.4
0,3DPI,kf,k_feature,50,0.6934726078705924,0.7887921170545672,16,1.0,148.8
0,7DPI,kf,k_feature,10,0.6466413346261977,0.7613697516559772,10,0.5,153.4
0,7DPI,kf,k_feature,15,0.6431531704751213,0.7627025269755439,10,0.5,147.5
0,7DPI,kf,k_feature,20,0.6418064963900642,0.7605707796162339,10,0.5,151.3
0,7DPI,kf,k_feature,30,0.6450504951241544,0.7647933700573307,10,0.5,151.5
0,7DPI,kf,k_feature,50,0.6725026474263762,0.7770038588357555,14,0.8,150.6
0,Ctrl,kf,k_feature,10,0.5615963473822089,0.7052554037209594,15,0.8,151.3
0,Ctrl,kf,k_feature,15,0.5545574121834242,0.7067933941839328,17,0.8,153.6
0,Ctrl,kf,k_feature,20,0.5608607590530582,0.7088974295579193,17,0.8,150.2
0,Ctrl,kf,k_feature,30,0.573584252715788,0.7048588723709237,11,0.5,153.1
0,Ctrl,kf,k_feature,50,0.5832786403631333,0.7270084458376429,16,0.8,153.8
1,1DPI,kf,k_feature,10,0.5297475516294973,0.6880526751114082,16,0.8,147.8
1,1DPI,kf,k_feature,15,0.5173468089880285,0.6793760662673972,14,0.8,147.8
1,1DPI,kf,k_feature,20,0.5208325628394358,0.6788713446399873,14,0.8,148.9
1,1DPI,kf,k_feature,30,0.5226867339037844,0.7040940774280019,10,0.5,146.1
1,1DPI,kf,k_feature,50,0.5350874361324198,0.6939531041747896,12,0.8,140.5
1,3DPI,kf,k_feature,10,0.6820645681750858,0.7862054930763969,15,0.8,144.2
1,3DPI,kf,k_feature,15,0.7094567711668409,0.8028594050726816,14,0.5,149.6
1,3DPI,kf,k_feature,20,0.6916521164421214,0.7966370033414668,12,0.5,148.9
1,3DPI,kf,k_feature,30,0.7021423097432732,0.7906789336185353,18,1.0,147.2
1,3DPI,kf,k_feature,50,0.7075078067358995,0.799641201620773,16,1.0,151.9
1,7DPI,kf,k_feature,10,0.6686373339426391,0.7752232004924271,13,0.8,146.2
1,7DPI,kf,k_feature,15,0.6453053457446603,0.7685564502575094,14,0.8,152.4
1,7DPI,kf,k_feature,20,0.6530251982656128,0.7760919743291933,14,0.8,148.0
1,7DPI,kf,k_feature,30,0.6550286329842939,0.7702353336925145,14,0.8,148.9
1,7DPI,kf,k_feature,50,0.7050992544861874,0.7838154868195011,14,0.8,150.5
1,Ctrl,kf,k_feature,10,0.5713920392640874,0.7117288798482395,14,0.8,150.8
1,Ctrl,kf,k_feature,15,0.5632492826890179,0.7069741995533949,14,0.8,115.2
1,Ctrl,kf,k_feature,20,0.5591435423824012,0.7044097117810024,15,1.0,114.4
1,Ctrl,kf,k_feature,30,0.5390193702123816,0.6896471170143778,12,0.8,113.9
1,Ctrl,kf,k_feature,50,0.5439209191003206,0.7026401461840821,17,1.0,113.2
2,1DPI,kf,k_feature,10,0.5032035137762997,0.6820950590336918,19,1.0,112.9
2,1DPI,kf,k_feature,15,0.49918538662296896,0.6882415699879086,9,0.5,109.3
2,1DPI,kf,k_feature,20,0.49915510657927703,0.6876110683305885,17,1.0,108.4
2,1DPI,kf,k_feature,30,0.5203845665476323,0.7015451394266675,9,0.5,110.9
2,1DPI,kf,k_feature,50,0.4989705194760577,0.6834370952358809,16,1.0,110.0
2,3DPI,kf,k_feature,10,0.6595651396481239,0.7821464063678204,13,0.8,103.9
2,3DPI,kf,k_feature,15,0.6813788092051934,0.7927176320907826,12,0.5,110.2
2,3DPI,kf,k_feature,20,0.691534028439264,0.8024670093008259,17,1.0,112.1
2,3DPI,kf,k_feature,30,0.7148805960369947,0.8022875552040911,15,0.8,114.7
2,3DPI,kf,k_feature,50,0.6850372113378744,0.7911185749755562,13,0.8,115.9
2,7DPI,kf,k_feature,10,0.6243405958257225,0.7612699011735048,13,0.8,113.3
2,7DPI,kf,k_feature,15,0.6160070984538917,0.7519378656609244,10,0.5,113.7
2,7DPI,kf,k_feature,20,0.6362801492911739,0.766009325660075,13,0.8,113.2
2,7DPI,kf,k_feature,30,0.6633760192529259,0.774137328451453,14,0.8,114.8
2,7DPI,kf,k_feature,50,0.6449230765347161,0.7675429747925053,10,0.5,116.1
2,Ctrl,kf,k_feature,10,0.5521971753825207,0.7045782187519998,15,0.8,111.2
2,Ctrl,kf,k_feature,15,0.5459126286338084,0.6994455533938728,15,0.8,108.3
2,Ctrl,kf,k_feature,20,0.5439716881023573,0.6911399968120143,10,0.5,109.4
2,Ctrl,kf,k_feature,30,0.5903501312537666,0.7165166638039179,11,0.5,112.5
2,Ctrl,kf,k_feature,50,0.5648866600162437,0.7124947224833201,14,0.8,114.0
