seed,sample,axis,param,value,ari,nmi,n_clusters,res,sec
0,1DPI,ks,k_spatial,6,0.5301639916493325,0.7031654362577686,21,1.5,70.2
0,1DPI,ks,k_spatial,10,0.534264576144302,0.7063512499491728,21,1.5,157.8
0,1DPI,ks,k_spatial,15,0.5114665888961867,0.6852163213999202,13,0.8,150.9
0,1DPI,ks,k_spatial,20,0.5195248529246401,0.6996738178215859,9,0.5,151.5
0,1DPI,ks,k_spatial,30,0.5138306126234995,0.7068939141051097,22,1.5,158.8
0,3DPI,ks,k_spatial,6,0.6975017998598857,0.7905900601075284,14,0.8,154.4
0,3DPI,ks,k_spatial,10,0.7722791370110488,0.8279685572601712,15,1.0,155.2
0,3DPI,ks,k_spatial,15,0.6980675752973582,0.7900065502719099,14,0.8,158.1
0,3DPI,ks,k_spatial,20,0.7372964131869647,0.8145364495083954,14,0.8,155.6
0,3DPI,ks,k_spatial,30,0.7061219614384704,0.79204659721966,14,0.8,154.5
0,7DPI,ks,k_spatial,6,0.6440275816782512,0.7645193509400059,10,0.5,153.8
0,7DPI,ks,k_spatial,10,0.6449073492206711,0.7654553619862492,10,0.5,150.9
0,7DPI,ks,k_spatial,15,0.6425319572881416,0.7612037715169744,10,0.5,152.4
0,7DPI,ks,k_spatial,20,0.634876070400124,0.7716192608413847,16,1.0,156.2
0,7DPI,ks,k_spatial,30,0.636858556845745,0.7639255351435233,14,0.8,152.2
0,Ctrl,ks,k_spatial,6,0.5668363776395078,0.7000632956176652,11,0.5,156.2
0,Ctrl,ks,k_spatial,10,0.5731060155885322,0.7175836077793172,15,0.8,152.1
0,Ctrl,ks,k_spatial,15,0.5768188017077849,0.7203839980770351,15,0.8,153.2
0,Ctrl,ks,k_spatial,20,0.5708993912444238,0.7162204715003153,15,0.8,153.1
0,Ctrl,ks,k_spatial,30,0.5734648408854127,0.7157065317605915,16,0.8,158.5
1,1DPI,ks,k_spatial,6,0.5156114738564077,0.7037586849538995,17,1.0,149.1
1,1DPI,ks,k_spatial,10,0.5117916335824737,0.7040266429903737,23,1.5,149.8
1,1DPI,ks,k_spatial,15,0.5174938481919813,0.694189468452413,20,1.0,147.7
1,1DPI,ks,k_spatial,20,0.5093983804284506,0.6919519453790838,10,0.5,144.8
1,1DPI,ks,k_spatial,30,0.5271395320322889,0.6977964895584176,17,1.0,141.9
1,3DPI,ks,k_spatial,6,0.7476264535593776,0.8043920663623272,15,0.8,150.8
1,3DPI,ks,k_spatial,10,0.7173670731525362,0.8084195004478931,18,1.0,147.8
1,3DPI,ks,k_spatial,15,0.6889988946874118,0.8002275289664641,15,0.8,150.0
1,3DPI,ks,k_spatial,20,0.7458413288321837,0.8109146925404521,16,0.8,151.4
1,3DPI,ks,k_spatial,30,0.7022283517883082,0.7990548316572795,17,1.0,148.5
1,7DPI,ks,k_spatial,6,0.6759432042100547,0.7799030563763863,15,0.8,146.2
1,7DPI,ks,k_spatial,10,0.6833562314141318,0.7838902068040786,16,1.0,153.4
1,7DPI,ks,k_spatial,15,0.6676920479575015,0.7825281259919362,16,1.0,147.4
1,7DPI,ks,k_spatial,20,0.6436398676776675,0.7615824395733792,15,1.0,153.7
1,7DPI,ks,k_spatial,30,0.6719273523885732,0.7695919559236579,13,0.8,147.8
1,Ctrl,ks,k_spatial,6,0.6073712623963997,0.7265736498165434,16,1.0,117.2
1,Ctrl,ks,k_spatial,10,0.5664669300599525,0.7128647328936568,18,1.0,114.2
1,Ctrl,ks,k_spatial,15,0.5577622275230378,0.704442259119925,13,0.8,113.3
1,Ctrl,ks,k_spatial,20,0.5451774107026617,0.6901023553627854,13,0.8,112.2
1,Ctrl,ks,k_spatial,30,0.5516044657797537,0.6850080173912838,11,0.5,114.8
2,1DPI,ks,k_spatial,6,0.5267686168012378,0.706191372346175,9,0.5,114.2
2,1DPI,ks,k_spatial,10,0.5028467918888818,0.6890918277247219,8,0.3,109.2
2,1DPI,ks,k_spatial,15,0.5222474560769622,0.7014778706908239,23,1.5,111.0
2,1DPI,ks,k_spatial,20,0.5035589649577369,0.6734394943996086,16,1.0,112.1
2,1DPI,ks,k_spatial,30,0.49459587057549464,0.6726725978514699,16,1.0,112.3
2,3DPI,ks,k_spatial,6,0.6614294271525771,0.7875217640607771,13,0.8,114.2
2,3DPI,ks,k_spatial,10,0.7226024109089882,0.795787951909167,16,1.0,116.5
2,3DPI,ks,k_spatial,15,0.6965097393362912,0.8038388768425474,17,1.0,107.8
2,3DPI,ks,k_spatial,20,0.6708122886987306,0.7833563657626346,13,0.8,116.7
2,3DPI,ks,k_spatial,30,0.6590680190006393,0.7870433788982096,16,1.0,113.2
2,7DPI,ks,k_spatial,6,0.627114482658814,0.7565199178119013,11,0.5,115.3
2,7DPI,ks,k_spatial,10,0.6218567901707548,0.7478006081074707,10,0.5,111.8
2,7DPI,ks,k_spatial,15,0.6423950328527867,0.7656133666295217,14,0.8,115.3
2,7DPI,ks,k_spatial,20,0.6291385160334957,0.7539893965907027,10,0.5,112.1
2,7DPI,ks,k_spatial,30,0.6112257302935302,0.7500973364240724,10,0.5,112.4
2,Ctrl,ks,k_spatial,6,0.5363342934275657,0.7190678998151121,22,1.5,111.5
2,Ctrl,ks,k_spatial,10,0.562666793122691,0.716860508128598,16,0.8,113.3
2,Ctrl,ks,k_spatial,15,0.547372300513517,0.7019429780707461,15,0.8,113.0
2,Ctrl,ks,k_spatial,20,0.5705502933073797,0.715776784337239,15,0.8,101.2
2,Ctrl,ks,k_spatial,30,0.5386370145996611,0.6852663877764422,10,0.5,81.9
