seed,sample,method,ari,nmi,native_kmeans_ari,native_kmeans_nmi,n_clusters,res
3,Ctrl,SpaMask,0.32145962045344556,0.5408963548059471,0.3055085804571898,0.5703085023667824,16,0.8
3,1DPI,SpaMask,0.3493266100322693,0.5722076657309,0.3275665296578282,0.5959077357206666,12,0.5
3,3DPI,SpaMask,0.42647135893859905,0.6053260002436723,0.3556038686196964,0.5943419507826928,8,0.3
3,7DPI,SpaMask,0.3960397553870798,0.5855251837147926,0.3665489904385758,0.612304257784791,8,0.3
4,Ctrl,SpaMask,0.28131348370639453,0.4868341707464832,0.37647033767737026,0.6052655639748113,9,0.3
4,1DPI,SpaMask,0.35365445588442085,0.5776050251788506,0.3101844971227316,0.5866421468317733,9,0.3
4,3DPI,SpaMask,0.38912349687090964,0.5915465899199781,0.41056243685256394,0.6354627993237401,9,0.3
4,7DPI,SpaMask,0.3727476149875273,0.5918910428580055,0.3139246159736319,0.5839872491091631,12,0.5
5,Ctrl,SpaMask,0.3345945489851951,0.5389949212885549,0.3661984163228089,0.6023812777196638,12,0.5
5,1DPI,SpaMask,0.33950319203835844,0.5768081331830934,0.36224537951796054,0.6042373126822521,13,0.5
5,3DPI,SpaMask,0.4239424396896549,0.5821404508640596,0.45909191263831683,0.673767204238929,9,0.3
5,7DPI,SpaMask,0.41536126372363624,0.5896628240451612,0.3958633434825799,0.62087654740334,13,0.5
6,Ctrl,SpaMask,0.3064618509396726,0.5321171346013428,0.3172007939817661,0.562675201017926,13,0.5
6,1DPI,SpaMask,0.37090845967410346,0.587600906016294,0.3633252140836732,0.614807092549647,13,0.5
6,3DPI,SpaMask,0.38474044261665663,0.5881474843620714,0.3451433153324702,0.5875195345125233,9,0.3
6,7DPI,SpaMask,0.3437962877923927,0.5627891605759118,0.3454489224123342,0.590786868431887,13,0.5
7,Ctrl,SpaMask,0.334380536440008,0.5207150623947826,0.3423160043251818,0.5805444813912396,9,0.3
7,1DPI,SpaMask,0.34872594056016665,0.5596789060943062,0.33674158729092435,0.5745762029509972,9,0.3
7,3DPI,SpaMask,0.4405890060028837,0.6165501350605394,0.3918639414728058,0.6099915814349335,12,0.5
7,7DPI,SpaMask,0.38356639198364834,0.5534940416759249,0.4484553822877998,0.6494283312922804,8,0.3
8,Ctrl,SpaMask,0.3497556925697772,0.5358756227261979,0.3789983933361737,0.628960222797466,13,0.5
8,1DPI,SpaMask,0.33687667654053266,0.5918816369510285,0.3432844977864016,0.5928710869644456,20,1.0
8,3DPI,SpaMask,0.40434625273398783,0.5929230877786074,0.4144452988500579,0.6225449154941898,12,0.5
8,7DPI,SpaMask,0.38489356138696057,0.575912192092451,0.3247187640455313,0.5720308931928143,8,0.3
9,Ctrl,SpaMask,0.32703569126223336,0.5233588123078128,0.31193874547123823,0.5760895607671696,12,0.5
9,1DPI,SpaMask,0.3525363895606613,0.5622129829704369,0.31517501680030696,0.5671787065068125,10,0.3
9,3DPI,SpaMask,0.37972980205805784,0.6215324664144344,0.3905393956420969,0.6217914728741488,18,0.8
9,7DPI,SpaMask,0.35774345348443926,0.5905868047970296,0.3422800835841602,0.5847156407525693,14,0.5
