seed,sample,method,ari,nmi,n_clusters,res,sec
3,1DPI,Spatial-MGCN,0.5717240862344267,0.7405286396670693,15,0.3,50.9
3,3DPI,Spatial-MGCN,0.6627902663894928,0.780339374733018,16,0.5,11.1
3,7DPI,Spatial-MGCN,0.573784724964473,0.7370483099327306,14,0.3,11.0
3,Ctrl,Spatial-MGCN,0.6295205722235091,0.7615618139396743,16,0.5,13.5
4,1DPI,Spatial-MGCN,0.5636132691170465,0.7485032095704298,13,0.3,9.8
4,3DPI,Spatial-MGCN,0.6432529696180629,0.7707753555692448,13,0.3,11.4
4,7DPI,Spatial-MGCN,0.5858534055765187,0.7437407766134115,14,0.3,12.2
4,Ctrl,Spatial-MGCN,0.6150444446276551,0.7520543220387574,13,0.3,12.4
5,1DPI,Spatial-MGCN,0.5408618756638383,0.7321846951410812,14,0.3,9.2
5,3DPI,Spatial-MGCN,0.6836879303986316,0.779088196893065,14,0.3,12.8
5,7DPI,Spatial-MGCN,0.6192044816033586,0.7435546322985586,11,0.3,11.0
5,Ctrl,Spatial-MGCN,0.6279721902037799,0.7646244137675139,13,0.3,11.5
6,1DPI,Spatial-MGCN,0.5440354462646845,0.7338019554528985,13,0.3,11.2
6,3DPI,Spatial-MGCN,0.733791033444881,0.8131267604352325,17,0.5,9.2
6,7DPI,Spatial-MGCN,0.6314852352427652,0.7562997224397684,13,0.3,8.0
6,Ctrl,Spatial-MGCN,0.6656194875018746,0.7724630191165892,14,0.3,12.1
7,1DPI,Spatial-MGCN,0.5147548277054015,0.7078678403545395,12,0.3,13.2
7,3DPI,Spatial-MGCN,0.6526450621655313,0.7724558093277661,16,0.5,12.9
7,7DPI,Spatial-MGCN,0.6392835170533482,0.7303416030468114,11,0.3,12.7
7,Ctrl,Spatial-MGCN,0.6259813486172242,0.7620546168157204,14,0.3,10.9
8,1DPI,Spatial-MGCN,0.5164368299794744,0.7103113324413082,13,0.3,9.2
8,3DPI,Spatial-MGCN,0.6830495987618612,0.7721167696890122,12,0.3,16.6
8,7DPI,Spatial-MGCN,0.6692487406776453,0.7557917312785819,12,0.3,12.6
8,Ctrl,Spatial-MGCN,0.6413100848126725,0.757378515151081,15,0.3,11.0
9,1DPI,Spatial-MGCN,0.5556465681853097,0.7359032530820765,15,0.3,11.5
9,3DPI,Spatial-MGCN,0.6439765768388901,0.7733582855843479,11,0.3,12.0
9,7DPI,Spatial-MGCN,0.6493695990176692,0.741035194136358,11,0.3,11.6
9,Ctrl,Spatial-MGCN,0.6394741360869087,0.7642025937938746,17,0.5,9.8
