seed,sample,method,ari,nmi,n_clusters,res,sec
0,1DPI,Spatial-MGCN,0.560117867004197,0.7429400403113257,13,0.3,54.6
0,3DPI,Spatial-MGCN,0.6406932975518222,0.7692282615589631,11,0.3,13.6
0,7DPI,Spatial-MGCN,0.6286883899462528,0.7578009731800152,13,0.3,15.7
0,Ctrl,Spatial-MGCN,0.6446654222688744,0.7641875173776879,15,0.3,15.7
1,1DPI,Spatial-MGCN,0.5418849009017193,0.7246077413216404,12,0.3,16.3
1,3DPI,Spatial-MGCN,0.655050180198354,0.7736303753537502,18,0.5,19.4
1,7DPI,Spatial-MGCN,0.6725656969595125,0.7524566687281574,13,0.3,17.1
1,Ctrl,Spatial-MGCN,0.639105722355471,0.7598039925422211,14,0.3,16.3
2,1DPI,Spatial-MGCN,0.5211997375883567,0.7257081454836999,14,0.3,15.3
2,3DPI,Spatial-MGCN,0.6769345430852712,0.7871269695246832,18,0.5,16.0
2,7DPI,Spatial-MGCN,0.5799067969197131,0.7393534824240058,12,0.3,23.3
2,Ctrl,Spatial-MGCN,0.6336101116360796,0.7683971900900115,14,0.3,19.9
