seed,sample,method,ari,nmi,n_clusters,res
0,1DPI,SpatialDomainAE,0.536437493668091,0.7195468352280716,9,0.3
0,1DPI,SpatialGATAE,0.537032401740893,0.7199359064535793,9,0.3
0,1DPI,ExprOnlyAE,0.5346074747699898,0.7195964212490389,10,0.5
0,3DPI,SpatialDomainAE,0.7198547981267935,0.8019664685353576,14,0.5
0,3DPI,SpatialGATAE,0.6860422171391183,0.8003387095797169,13,0.5
0,3DPI,ExprOnlyAE,0.7254589140995453,0.8074822641129001,14,0.8
0,7DPI,SpatialDomainAE,0.6327775479075709,0.7773942467530653,14,0.5
0,7DPI,SpatialGATAE,0.6035355570400263,0.7620459810858795,14,0.5
0,7DPI,ExprOnlyAE,0.6283729195908239,0.7657753619167327,9,0.3
0,Ctrl,SpatialDomainAE,0.6135858212442266,0.7465475390390865,11,0.3
0,Ctrl,SpatialGATAE,0.6335899874638916,0.7505110587341313,12,0.5
0,Ctrl,ExprOnlyAE,0.6123297028209197,0.7521646326882783,13,0.5
1,1DPI,SpatialDomainAE,0.5743484366801934,0.7584322392009312,16,0.8
1,1DPI,SpatialGATAE,0.5353413211593884,0.7192096118227417,8,0.3
1,1DPI,ExprOnlyAE,0.5422063057836467,0.7281089819535635,11,0.5
1,3DPI,SpatialDomainAE,0.7318772532408137,0.8056823278689548,14,0.5
1,3DPI,SpatialGATAE,0.7081664341391488,0.798167698522298,14,0.5
1,3DPI,ExprOnlyAE,0.7295150135970325,0.8154767358381555,15,0.8
1,7DPI,SpatialDomainAE,0.6199103376947624,0.7603295055672512,9,0.3
1,7DPI,SpatialGATAE,0.5987123697161808,0.7635635420416164,17,0.8
1,7DPI,ExprOnlyAE,0.6279788047845615,0.7539622496566234,10,0.5
1,Ctrl,SpatialDomainAE,0.609105374280579,0.7437281564347874,11,0.3
1,Ctrl,SpatialGATAE,0.6291285131166818,0.7502455352886636,11,0.3
1,Ctrl,ExprOnlyAE,0.6102260010931556,0.7527148745736929,14,0.5
2,1DPI,SpatialDomainAE,0.5443588423733413,0.723770854367648,9,0.3
2,1DPI,SpatialGATAE,0.5533406478737778,0.7345436282844051,10,0.3
2,1DPI,ExprOnlyAE,0.5395619148079634,0.7249125556363915,11,0.5
2,3DPI,SpatialDomainAE,0.6697655138295427,0.792475193708948,10,0.3
2,3DPI,SpatialGATAE,0.6878204345890309,0.8002884679032313,12,0.5
2,3DPI,ExprOnlyAE,0.7141308739465342,0.800733080252212,12,0.5
2,7DPI,SpatialDomainAE,0.6046739268085523,0.7644606731927753,15,0.5
2,7DPI,SpatialGATAE,0.6252834753324925,0.7664141478363616,15,0.5
2,7DPI,ExprOnlyAE,0.6345886505224031,0.7636962672816525,10,0.5
2,Ctrl,SpatialDomainAE,0.617405065442653,0.7447034604667344,11,0.3
2,Ctrl,SpatialGATAE,0.6378941149120766,0.7574515445817319,12,0.5
2,Ctrl,ExprOnlyAE,0.6269370647332944,0.7587978502279438,12,0.5
